FAIRFORD-HATHEROP-CASTLE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP153051,Long,-1.7797994,Lat,51.744395,Elevation,410,ft,,,,,,,,,,,,
Station no,RR7002,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.81,4.47,1.31,1.1,1.25,2.24,1.05,6.14,4.66,0.72,,,,,
February,,,,,,0.74,2.19,1.25,1.14,0.38,3.53,1.56,2.55,1.42,2.92,,,,,
March,,,,,,3.78,1.83,1.06,2.88,3.89,0.54,2,4.95,3.35,4.63,,,,,
April,,,,,,2.31,0.82,3.1,3.53,2.01,2.41,1.27,0.16,4.09,1.25,,,,,
May,,,,,,0.4,2.08,2.64,1.61,1.66,1.7,1.47,2.07,2.36,1.68,,,,,
June,,,,,,3.51,3.15,2.21,0.84,4.72,3.89,2.05,4.44,0.76,2.59,,,,,
July,,,,,,1.81,1.61,3.69,2.48,2.64,1.99,0.19,3.49,2.11,4.04,,,,,
August,,,,,,4.66,0.96,2.36,3.78,2.97,3.72,1.57,5.92,1.07,2.2,,,,,
September,,,,,,1.23,0.84,0.75,1.74,3.2,0.33,1.47,1.04,3.14,1.59,,,,,
October,,,,,,1,5.53,6.47,1.83,4.78,2.53,2.57,3.57,3.67,2.25,,,,,
November,,,,,,3.69,3.55,2.18,1.32,0.74,3.94,3.38,1.76,2.7,4.68,,,,,
December,,,,,,1.28,2.57,4.11,2.67,4.3,4.94,5.61,3.93,1.35,5.94,,,,,
Total,,,,,,25.22,29.6,31.13,24.92,32.54,31.76,24.19,40.02,30.68,34.49,,,,,
