FAIRFORD HATHEROP CASTLE,,,,,,,,,,,,
Grid ref,SP153051,Long,-1.779799,Lat,51.744395,,,,,,,
Station no,RR7002,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.81,4.47,1.31,1.10,1.25,,
February,,,,,,0.74,2.19,1.25,1.14,0.38,,
March,,,,,,3.78,1.83,1.06,2.88,3.89,,
April,,,,,,2.31,0.82,3.10,3.53,2.01,,
May,,,,,,0.40,2.08,2.64,1.61,1.66,,
June,,,,,,3.51,3.15,2.21,0.84,4.72,,
July,,,,,,1.81,1.61,3.69,2.48,2.64,,
August,,,,,,4.66,0.96,2.36,3.78,2.97,,
September,,,,,,1.23,0.84,0.75,1.74,3.20,,
October,,,,,,1.00,5.53,6.47,1.83,4.78,,
November,,,,,,3.69,3.55,2.18,1.32,0.74,,
December,,,,,,1.28,2.57,4.11,2.67,4.30,,
Total,,,,,,25.22,29.60,31.13,24.92,32.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.22,29.60,31.13,24.92,32.54,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,,
