"CARRIBBER RESERVOIR EASTER",,,,,,,,,,,,
Grid ref,NS970750,Long,-3.651272,Lat,55.956940,,,,,,,
Station no,5158,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.96,1.81,2.29,6.80,3.22,1.36,3.62,1.79,4.25,4.71,,
February,3.38,0.88,1.23,5.89,2.66,1.70,1.55,2.37,1.45,1.52,,
March,1.42,2.28,1.68,6.53,1.63,3.27,2.84,2.75,4.19,3.84,,
April,1.80,1.86,0.97,1.25,3.25,1.76,0.90,1.58,1.45,3.12,,
May,1.70,2.06,1.89,1.72,3.62,0.83,4.98,3.20,2.52,2.60,,
June,3.72,2.32,2.55,1.91,1.35,0.44,1.14,3.79,1.56,2.35,,
July,3.06,1.20,3.83,4.68,2.90,2.60,1.91,2.30,3.31,4.16,,
August,4.70,3.98,1.90,4.63,3.72,3.29,4.83,4.61,2.93,2.37,,
September,2.95,1.48,1.50,2.26,2.24,2.23,1.28,0.88,4.54,1.90,,
October,4.64,2.36,1.55,7.30,1.15,2.15,5.53,7.97,1.51,4.50,,
November,4.34,3.10,1.24,2.06,1.41,4.13,-999.00,1.55,2.61,1.70,,
December,5.35,3.28,3.28,1.86,4.09,2.72,1.74,3.92,2.08,4.16,,
Total,42.02,26.61,23.91,46.89,31.24,26.48,34.84,36.71,32.40,36.93,,
Calc annual,42.02,26.61,23.91,46.89,31.24,26.48,30.32,36.71,32.40,36.93,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,4.52,0.00,0.00,-0.00,,
