CHELMSFORD HIGH STREET,,,,,,,,,,,,,
Grid ref,TL708068,Long,0.472029,Lat,51.733888,Elevation,80,ft,,,,,
Station no,1291,,,,,,,,,,,,
,,,,,,,,,,,,,
,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749
January,0.618,1.08,3.075,0,0.652,1.02,,,,,,,
February,1.444,0.809,4.262,0.148,0.905,0.43,,,,,,,
March,2.593,2.161,1.161,0.688,0.329,0,,,,,,,
April,1.28,1.534,3.345,1.659,0.389,0.95,,,,,,,
May,1.532,0.919,1.924,0.785,3.165,0.207,,,,,,,
June,0.616,2.834,2.362,0.792,1.497,2.19,,,,,,,
July,4.903,1.383,2.271,1.325,1.246,0.83,,,,,,,
August,3.856,1.75,2.125,1.63,1.603,,,,,,,,
September,3.652,1.803,2.257,1.741,2.218,,,,,,,,
October,2.502,2.762,0.156,0.381,1.879,,,,,,,,
November,,2.021,1.826,2.259,2.014,,,,,,,,
December,1.969,1.825,1.557,2.794,1.3,,,,,,,,
Total,,20.881,26.321,14.202,17.197,,,,,,,,
