"COWBRIDGE FONMON CASTLE",,,,,,,,,,,,
Grid ref,ST047680,Long,-3.371418,Lat,51.402995,,,,,,,
Station no,RR1555,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.61,2.20,2.50,3.26,4.15,1.20,5.72,2.13,2.16,2.08,,
February,5.43,0.64,1.32,1.81,4.64,0.95,3.20,1.53,2.76,0.61,,
March,1.10,1.72,2.35,4.01,2.51,4.25,2.53,0.93,2.58,3.61,,
April,1.71,4.17,1.30,1.98,1.09,1.91,1.70,3.21,2.56,2.95,,
May,1.08,0.49,2.37,2.37,2.96,0.02,3.69,1.91,1.22,1.91,,
June,2.05,2.78,3.33,2.03,1.07,3.44,1.97,2.82,0.23,1.99,,
July,1.07,2.23,2.32,2.95,4.02,2.39,0.95,2.56,3.07,2.73,,
August,3.92,3.13,2.74,4.45,3.42,3.51,3.51,2.79,5.31,2.71,,
September,1.08,3.03,3.21,2.97,3.29,1.48,1.20,0.89,3.54,3.08,,
October,5.66,2.86,3.09,9.24,2.99,1.82,4.97,6.57,3.41,5.89,,
November,5.79,1.42,4.56,3.19,4.00,3.68,4.19,2.58,2.15,1.92,,
December,4.88,5.58,3.63,3.63,2.82,1.79,2.59,6.40,3.54,6.00,,
Total,38.38,30.25,32.72,41.89,36.96,26.44,36.22,34.32,32.53,35.48,,
Calc annual,38.38,30.25,32.72,41.89,36.96,26.44,36.22,34.32,32.53,35.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
