"COWBRIDGE FONMON CASTLE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1555,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,3.98,2.53,2.91,2.07,2.88,4.04,1.53,2.72,1.90,6.66,,
February,0.58,0.10,3.07,5.84,4.80,0.39,1.13,6.49,3.11,4.58,,
March,1.81,1.96,1.04,0.73,3.91,4.77,6.56,4.63,2.46,0.74,,
April,2.44,1.61,2.65,0.10,2.72,2.29,1.14,5.25,1.36,5.18,,
May,1.42,3.69,1.41,2.90,2.74,0.21,0.17,1.40,3.50,2.29,,
June,2.51,1.57,1.51,0.42,3.04,1.53,2.54,2.73,1.15,1.32,,
July,3.44,2.58,1.99,4.07,4.09,4.92,1.50,2.07,0.46,0.73,,
August,3.07,9.13,3.81,2.88,6.04,4.75,3.26,6.34,3.51,2.13,,
September,1.39,3.38,4.38,3.74,2.82,0.95,8.31,6.20,2.23,3.53,,
October,2.18,6.12,2.88,7.24,5.87,5.89,4.94,2.45,9.03,3.16,,
November,4.10,3.53,3.31,3.12,6.30,4.23,1.22,2.78,5.30,2.93,,
December,1.49,6.02,3.87,5.74,5.32,5.67,7.87,6.31,6.13,3.64,,
Total,28.41,42.22,32.83,38.85,50.53,39.64,40.17,49.37,40.14,36.89,,
Calc annual,28.41,42.22,32.83,38.85,50.53,39.64,40.17,49.37,40.14,36.89,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
