DANBY THE SCHOOL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ699078,Long,-0.9221,Lat,54.461,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,3.95,4.33,4.1,3.15,2.62,2.26,1.82,3.38,2.28,5.48,3.64,4.79,3.31,2.42,3.61,2.3,4.35,5.27,5.67,,,
February,,,,,,,,,,1.76,1.11,0.34,2.11,5.51,1.88,4.75,1.99,1.67,1.71,1.42,1.98,2.59,1.97,5.6,2.17,4.39,3.7,4.18,,,
March,,,,,,,,,,5.13,3.86,1.61,3.56,1.68,1.14,2.51,0.96,2.63,3.84,0.33,3.53,2.09,2.8,1.95,3.44,0.84,1.35,4.67,,,
April,,,,,,,,,,2.37,4.38,1.67,2.63,2.09,2.36,3.88,1.37,2.51,1.64,1.6,4.9,4.91,1.8,1.05,3.87,3.64,2.35,3.55,,,
May,,,,,,,,,,0.72,2.07,1.86,0.76,4.15,5.56,3.11,2.56,1.86,2.45,1.32,1.46,2.23,7.92,2.96,1.28,1.75,2.1,2.8,,,
June,,,,,,,,,,1.96,0.68,0.54,2.03,1.4,2.63,1.01,3.26,3.65,5.29,2.52,1.53,5.08,2.2,3.06,1.59,3.11,4.89,1.53,,,
July,,,,,,,,,,3.72,5.84,1.27,5.64,2.68,4.7,2.86,3.42,2.52,0.84,2.71,12.8,4.24,3.42,1.94,4.6,0.36,2.92,1.79,,,
August,,,,,,,,,,2.83,2.82,6.63,4.44,4.59,2.07,2.99,2.8,7.39,5.08,3.27,4.4,2.48,4.13,0.4,3.25,2.5,2.43,1.39,,,
September,,,,,,,,,,1.26,1.59,0.95,3.77,2.8,2.96,3.43,1.46,6.36,1.38,0.77,5.22,8.61,3.09,2.49,1.62,5.07,3.67,2.17,,,
October,,,,,,,,,,7.77,2.34,1.94,2.5,3.34,4.5,2.81,4.36,3.05,4.13,3.39,2.58,2.43,5.57,5.66,2.65,4.67,2.53,3.07,,,
November,,,,,,,,,,4.32,0.88,2.55,1.98,6.53,1.75,5.21,6.65,5.47,3.76,4.58,5.97,3.15,1.47,4.8,3.54,5.78,3.68,3.93,,,
December,,,,,,,,,,4.89,3.62,2.13,5.51,4.2,4.64,4.95,2.42,3.42,2.22,6.37,3.29,1.46,1.99,1.3,4.77,2.82,2.57,6.27,,,
Total,,,,,,,,,,40.68,33.52,25.59,38.08,41.59,36.45,39.33,34.63,42.81,37.82,31.92,52.45,42.58,38.78,34.82,35.08,39.28,37.46,41.02,,,
