"SCONE, LIGNWOOD",,,,,,,,,,,,
Grid ref,NO136258,Long,-3.402039,Lat,56.416488,,,,,,,
Station no,RR4434,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.00,1.70,0.95,4.50,1.85,0.60,2.25,0.70,2.00,1.15,,
February,2.50,0.90,1.28,3.90,3.95,0.70,1.10,1.40,1.25,0.90,,
March,1.20,1.80,1.10,3.40,1.50,3.65,1.65,1.50,3.60,3.40,,
April,1.60,2.00,1.80,1.60,2.75,1.51,0.68,1.05,1.75,3.00,,
May,1.10,2.95,1.40,1.90,1.10,1.37,4.25,5.00,0.60,3.50,,
June,2.00,1.60,2.00,2.24,0.65,0.60,0.80,1.00,1.15,0.95,,
July,3.00,0.90,1.60,4.60,1.50,0.90,1.20,1.65,2.00,3.00,,
August,4.50,3.10,2.50,3.00,3.65,3.20,1.90,3.00,0.50,1.75,,
September,2.55,1.70,1.60,4.00,2.65,1.40,0.40,0.00,6.50,1.60,,
October,4.00,1.70,1.25,4.25,0.75,2.10,2.60,4.70,2.20,4.10,,
November,4.20,1.65,3.25,0.80,0.65,4.50,4.70,1.60,1.55,0.60,,
December,3.50,3.50,5.50,3.50,2.00,2.25,1.90,4.00,1.40,3.20,,
Total,34.15,23.50,24.23,37.69,23.00,22.78,23.43,25.60,24.50,27.15,,
Calc annual,34.15,23.50,24.23,37.69,23.00,22.78,23.43,25.60,24.50,27.15,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
