"DRUMSNA -ALBERT LOCK, County Roscommon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IM999956,Long,-8.002,Lat,53.910,Elevation,146,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6164/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.94,3.45,2.17,1.15,1.34,1.83,2.91,3.64,3.83,2.72,4.84,3.50,2.51,4.15,1.77,2.73,2.50,3.06,1.61,3.17,5.00,2.18,1.49,2.21,1.32,2.86,2.42,3.21,2.18,2.48,2.07,2.56,2.16,3.15,3.74,2.97,1.38,2.33,1.95,2.43,2.24,3.03,1.55,3.30,2.77,3.13,3.16,3.54
February,,2.60,3.33,0.62,1.45,2.49,2.43,2.69,2.96,1.04,2.18,3.89,4.59,1.93,2.49,2.00,2.13,1.43,4.97,2.67,3.38,1.70,5.02,4.13,2.91,1.47,3.57,1.46,1.89,0.44,3.35,4.84,1.30,2.26,1.50,1.75,2.08,1.20,0.33,2.73,0.10,1.48,0.16,2.21,1.70,3.29,1.23,2.61,2.95
March,,0.97,2.04,3.25,4.40,4.23,1.14,1.30,0.35,2.84,1.86,5.49,2.66,4.28,2.12,2.87,3.51,2.78,2.31,1.70,4.33,3.78,5.63,0.46,1.16,2.56,1.21,1.91,1.71,2.37,1.28,0.95,1.25,0.69,0.85,2.32,2.09,0.15,2.11,1.71,1.51,1.69,2.25,1.46,1.96,1.03,1.57,1.80,3.67
April,,0.89,5.00,1.05,1.21,3.45,2.71,2.36,2.95,3.56,2.85,1.93,2.55,1.47,1.82,1.40,2.35,4.38,2.04,1.58,0.79,3.92,1.87,2.03,3.74,1.87,0.88,1.27,3.11,0.64,1.74,1.80,3.14,1.89,1.10,0.71,1.12,0.51,1.20,2.37,2.50,1.23,1.73,2.10,1.04,1.58,0.17,1.14,2.59
May,,4.36,2.80,0.49,0.67,1.13,3.72,3.16,2.38,1.59,2.24,2.87,1.62,1.42,3.32,3.64,3.75,1.95,2.75,2.05,1.49,4.60,1.74,0.72,3.43,2.64,1.72,2.10,2.63,1.08,0.89,1.32,2.65,4.06,2.65,1.16,1.17,1.00,0.78,2.39,2.00,2.40,1.89,0.83,1.18,2.00,2.03,0.86,2.33
June,2.71,4.25,1.91,1.12,2.49,4.72,3.60,1.86,3.38,3.19,1.81,1.18,2.19,1.90,1.53,4.48,3.06,1.14,4.35,1.23,3.54,2.49,1.10,2.01,1.80,2.17,1.21,1.69,1.93,0.10,1.15,1.05,2.42,0.45,1.37,2.00,4.36,1.10,0.93,2.61,0.76,2.76,1.46,3.61,4.39,1.03,2.69,2.08,1.30
July,2.71,2.01,4.52,3.96,5.54,1.78,0.57,1.99,1.55,1.10,2.68,5.17,4.05,1.66,1.58,2.09,2.17,2.20,3.62,2.01,2.67,1.35,2.36,3.69,2.20,3.25,2.55,0.49,2.64,2.89,2.39,1.13,2.55,2.34,2.15,1.83,1.34,2.20,2.31,2.99,3.54,2.03,1.04,0.49,5.85,2.77,4.30,2.90,2.89
August,4.91,2.87,2.43,4.08,1.97,4.01,4.00,2.12,4.43,3.27,2.02,5.92,4.63,5.83,5.51,2.50,1.45,1.08,6.13,2.41,4.79,1.13,4.81,3.75,4.23,5.05,1.57,2.49,0.96,1.63,2.37,3.75,3.65,1.67,2.28,5.20,3.06,2.60,4.50,2.71,1.98,1.09,3.31,2.31,0.92,2.39,2.51,1.42,1.04
September,3.66,1.23,0.11,0.61,4.36,1.57,3.62,2.84,2.01,3.35,2.36,4.23,3.54,1.54,1.04,1.33,5.20,2.58,1.71,1.73,0.31,4.04,1.10,1.35,1.52,1.79,4.77,2.62,1.55,0.64,1.94,3.02,2.74,1.91,1.61,2.71,2.20,0.63,2.85,1.91,2.94,0.36,3.78,4.49,3.49,2.74,2.05,1.26,2.26
October,3.58,2.30,3.41,3.28,2.68,2.28,2.23,2.00,4.96,3.10,2.22,4.90,2.29,1.60,4.06,3.28,1.44,4.68,1.71,2.94,2.46,2.86,1.50,3.24,6.11,5.37,3.78,0.99,1.26,1.80,0.85,2.50,1.79,1.69,1.87,1.36,3.05,2.96,3.54,1.33,2.83,1.99,3.66,2.90,2.23,0.97,4.50,2.76,3.74
