AUCHLYNE (WEST),,,,,,,,,,
Grid ref,NN484308,Long,-4.460888,Lat,56.444931,Elevation,1480,ft,,
Station no,5555/7/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.22,5.75,16.4,10.79,3.61,
February,,,,,2,3.9,6.81,4.3,5.18,
March,,,,,4.8,5.7,10.19,3.85,6.93,
April,,,,,5.18,3.77,2.89,4.5,7.48,
May,,,,,4.74,7.55,2.71,5.65,3.14,
June,,,,,4.4,5.06,3.77,4.37,5.78,
July,,,,,1.15,7.68,7.2,5.12,7.73,
August,,,,,1.75,6.43,9.27,7.46,7.75,
September,,,,,8.5,9.34,5.09,7.6,,
October,,,,,9.37,9.62,10.79,9.03,,
November,,,,,4.77,,4.36,2.35,,
December,,,,,19.8,,13.29,9.02,,
Total,,,,,71.68,,92.77,74.04,,
,,,,,,,,,,
1956 ND+T  est Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5555/7/5,,,,,,,,,
Midas,15079,,,,,,,,,
Hyd stn,860478,,,,,,,,,
