EASINGTON PRIMARY SCHOOL,,,,,,,,,,,,
Grid ref,TA399194,Long,0.115274,Lat,53.652393,,,,,,,
Station no,3390/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.17,1.01,1.28,1.33,5.03,1.80,2.13,2.68,4.23,,
February,,0.76,2.24,2.39,2.88,2.44,1.97,3.65,0.28,2.19,,
March,,2.77,0.58,2.29,2.22,0.62,1.21,2.16,2.01,1.19,,
April,,1.19,2.37,0.29,0.86,1.15,0.26,0.84,1.66,1.15,,
May,,1.22,2.48,2.70,3.91,0.65,1.59,2.29,0.26,0.77,,
June,,2.11,1.97,2.38,2.04,2.21,1.90,3.69,1.39,0.18,,
July,,0.71,1.88,2.02,0.98,3.90,3.28,3.29,3.04,2.53,,
August,,1.94,2.55,4.18,0.66,4.40,3.67,1.31,0.43,2.75,,
September,,3.42,0.66,2.18,1.25,1.21,3.37,1.80,0.08,2.15,,
October,,2.36,1.99,3.36,1.21,1.00,1.23,1.38,2.44,4.30,,
November,2.85,3.42,1.23,3.56,1.09,1.20,1.62,0.70,2.84,3.92,,
December,1.64,1.90,1.29,1.90,2.48,1.17,2.31,3.03,4.46,3.48,,
Total,,23.97,20.25,28.53,20.91,24.98,24.21,26.27,21.57,28.84,,
Calc annual,4.49,23.97,20.25,28.53,20.91,24.98,24.21,26.27,21.57,28.84,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
