BISHOP AUCKLAND N BONDGATE,,,,,,,,,,,
Grid ref,NZ208300,Long,-1.6790512,Lat,54.664656,Elevation,316,ft,,,
Station no,RR8846,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.59,4.45,3.85,1.07,2,1.93,,,,,
February,0.89,0.28,2.56,4.77,0.78,2.7,,,,,
March,3.09,0.87,1.81,1.79,1.09,1.56,,,,,
April,3.34,0.89,2.59,2.02,1.61,2.91,,,,,
May,3.21,1.64,0.78,2.2,6.14,3.12,,,,,
June,0.74,0.55,1.08,0.86,1.28,0.11,,,,,
July,3.96,1.71,3.88,1.72,4.13,1.81,,,,,
August,1.44,4.72,1.95,3.06,2.06,4.14,,,,,
September,1.21,0.61,3.85,1.82,2.4,2.7,,,,,
October,2.25,1.47,1.76,2.02,3.53,3.29,,,,,
November,1.17,2.21,0.58,3.4,1.14,2.34,,,,,
December,3.65,2.02,3.67,2.54,2.93,3.61,,,,,
Total,28.54,21.42,28.36,27.27,29.09,30.22,,,,,
,,,,,,,,,,,
1923 March not transcribed - massive ink blot; added by calculation,,,,,,,,,,,
