"OTTERY ST MARY, BROAD STREET",,,,,,,,,,,,
Grid ref,SY096954,Long,-3.282814,Lat,50.751136,,,,,,,
Station no,1818,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,3.37,4.98,1.54,6.46,1.02,0.52,1.25,,
February,,,,2.01,7.16,0.99,3.99,1.51,1.69,0.40,,
March,,,,3.75,2.30,4.89,1.57,0.72,3.54,6.86,,
April,,,,2.58,1.13,3.28,1.10,5.51,2.75,2.71,,
May,,,,4.00,2.94,0.52,3.10,2.52,2.63,1.61,,
June,,,,2.22,0.94,2.65,2.72,2.84,0.58,2.82,,
July,,,,3.88,5.10,0.44,1.11,1.15,1.42,2.77,,
August,,,,3.90,3.09,4.80,1.63,1.32,4.25,2.60,,
September,,,,3.99,2.28,1.76,1.18,0.66,3.28,1.97,,
October,,,,7.86,1.61,2.83,5.33,8.86,4.21,6.92,,
November,,,,2.00,1.82,4.50,2.84,3.02,1.12,1.24,,
December,,,,4.78,3.41,0.88,1.81,5.55,3.96,6.08,,
Total,,,,44.34,36.76,29.08,32.84,34.68,29.95,37.23,,
Calc annual,0.00,0.00,0.00,44.34,36.76,29.08,32.84,34.68,29.95,37.23,,
Difference,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
