"OTTERY ST. MARY (BROAD STREET)",,,,,,,,,,,,
Grid ref,SY098954,Long,-3.279979,Lat,50.751168,,,,,,,
Station no,1818,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.54,2.94,0.54,2.16,5.44,,,,,,,
February,6.31,0.80,2.08,3.69,3.00,,,,,,,
March,4.70,3.29,0.61,3.92,1.71,,,,,,,
April,1.77,3.35,3.41,0.14,1.54,,,,,,,
May,2.72,3.15,2.53,1.92,3.94,,,,,,,
June,0.90,2.02,2.49,4.41,3.18,,,,,,,
July,1.75,1.48,2.76,3.18,2.60,,,,,,,
August,4.85,4.47,2.34,3.51,0.05,,,,,,,
September,4.26,3.58,3.57,3.02,1.36,,,,,,,
October,1.29,5.97,3.02,2.09,2.27,,,,,,,
November,6.91,3.85,2.32,7.52,5.32,,,,,,,
December,3.03,3.23,1.34,2.70,4.20,,,,,,,
Total,42.03,38.13,27.01,38.26,34.61,,,,,,,
Calc annual,42.03,38.13,27.01,38.26,34.61,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
