BOYTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TM372471,Long,1.4596886,Lat,52.07143,Elevation,30,ft,,,,,,,,,,,,
Station no,RR6790,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,2.09,1.54,1.53,1.04,1.86,2.66,0.39,0.55,1.86,2.07,0.85,3.29,1.06,0.62,1
February,,,,,,0.35,0.32,1.55,0.72,1.58,3.15,1.06,0.5,0.24,1.91,0.76,1.63,0.84,1.64,0.58
March,,,,,,1.54,2.52,2.75,2.18,1.12,0.66,1.55,1.04,1.68,1.5,1.69,1.46,0.87,1.65,2.23
April,,,,,,0.63,1.1,2.12,1.22,2.2,0.96,1.66,0.61,2.05,1.04,2.08,0.4,2.57,2.03,1.23
May,,,,,,0.16,0.35,0.93,1.98,1.86,0.73,1.14,2.05,1.52,2.34,1.1,1.14,1.7,0.99,1.06
June,,,,,,0.5,1.27,2.1,4.15,1.5,3.24,1.26,2.43,3.43,0.77,3.14,1.75,2.16,0.48,3.42
July,,,,,,3.66,0.17,0.05,1.75,2.69,1.22,0.91,3.53,4.5,1.66,0.2,0.25,2.28,3.14,3.51
August,,,,,,3.63,2.26,1.32,1.6,0.15,3.09,1.46,3,4.1,1,1.64,0.35,1.57,1.63,2.62
September,,,,,,0.3,4.08,2.79,0.38,3.66,0.51,0.83,1.68,2.04,1.68,3.29,1.26,0.56,1.24,2.05
October,,,,,,2.79,4.24,0.36,2.22,2,1.67,2.16,1.13,4.42,1.11,1.48,2.49,2.74,1.2,4.47
November,,,,,,2.04,1.01,1.21,3.12,3.18,1.59,1.09,1.49,2.1,1.35,2.19,3.59,1.75,1.06,0.93
December,,,,,,1.23,2.87,2.43,2.66,2.42,2.27,3.91,1.33,1.02,2.28,0.92,1.5,1.31,1.99,4.29
Total,,,,,,18.92,21.73,19.14,23.02,24.22,21.75,17.42,19.34,28.96,18.71,19.34,19.11,19.41,17.67,27.39
