BOYTON RECTORY,,,,,,,,,,,,
Grid ref,TM372471,Long,1.459689,Lat,52.071430,,,,,,,
Station no,RR6790,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.66,0.39,0.55,1.86,2.07,0.85,3.29,1.06,0.62,1.00,,
February,3.15,1.06,0.50,0.24,1.91,0.76,1.63,0.84,1.64,0.58,,
March,0.66,1.55,1.04,1.68,1.50,1.69,1.46,0.87,1.65,2.23,,
April,0.96,1.66,0.61,2.05,1.04,2.08,0.40,2.57,2.03,1.23,,
May,0.73,1.14,2.05,1.52,2.34,1.10,1.14,1.70,0.99,1.06,,
June,3.24,1.26,2.43,3.43,0.77,3.14,1.75,2.16,0.48,3.42,,
July,1.22,0.91,3.53,4.50,1.66,0.20,0.25,2.28,3.14,3.51,,
August,3.09,1.46,3.00,4.10,1.00,1.64,0.35,1.57,1.63,2.62,,
September,0.51,0.83,1.68,2.04,1.68,3.29,1.26,0.56,1.24,2.05,,
October,1.67,2.16,1.13,4.42,1.11,1.48,2.49,2.74,1.20,4.47,,
November,1.59,1.09,1.49,2.10,1.35,2.19,3.59,1.75,1.06,0.93,,
December,2.27,3.91,1.33,1.02,2.28,0.92,1.50,1.31,1.99,4.29,,
Total,21.75,17.42,19.34,28.96,18.71,19.34,19.11,19.41,17.67,27.39,,
Calc annual,21.75,17.42,19.34,28.96,18.71,19.34,19.11,19.41,17.67,27.39,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
