CROWCOMBE-CROWCOMBE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST136367,Long,-3.23515,Lat,51.12363,Elevation,474,ft,,,,,,,,,,,,
Station no,2089/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,6.07,4.16,7.17,2.59,4.26,4,6.66,2.14,3.9,3.57,,,,
February,,,,,,,5.19,1.16,1.41,2.22,3.77,0.73,1.8,0.88,2.72,2.91,,,,
March,,,,,,,6.34,0.16,1.96,2.83,4.26,2.44,1.2,0.43,1,1.21,,,,
April,,,,,,,3.59,0.27,3.13,2.56,2.36,1.93,0.71,1.76,0.97,3.86,,,,
May,,,,,,,2.99,3.12,1.54,1.98,2.08,6.65,3.75,2.04,4.27,5.3,,,,
June,,,,,,,0.55,1.73,3.53,0.76,1.9,0.67,1.61,2.81,2.47,2.57,,,,
July,,,,,,,2.75,2.83,5.4,4.66,2.1,1.69,2.48,1.84,3.28,1.95,,,,
August,,,,,,,0.77,4.72,2.62,0.17,3.9,4.73,3.03,2.77,2.29,5.83,,,,
September,,,,,,,5.16,1.88,1.16,2.05,1.35,2.66,4.29,3.33,3.18,4.36,,,,
October,,,,,,,3.53,4.59,4.05,6.51,2.81,3.07,3.04,4.93,4.5,1.26,,,,
November,,,,,,,2.31,5.76,6.38,8.4,2.89,1.37,2.99,7.09,1.07,5.32,,,,
December,,,,,,,3.28,4.75,2.2,3.3,2.81,3.63,3.11,3.85,6.56,4.49,,,,
Total,,,,,,,42.53,35.13,40.55,38.03,34.49,33.57,34.67,33.87,36.21,42.63,,,,
,,,,,,,,,,,,,,,,,,,,
1938 July 27 Inspection Exposure excellent,,,,,,,,,,,,,,,,,,,,
1947 No return,,,,,,,,,,,,,,,,,,,,
1948 Station terminated,,,,,,,,,,,,,,,,,,,,
