DONCASTER-OWSTON-1850s,,,,,,,,,,
Grid ref,SE548112,Long,-1.1735054,Lat,53.594519,Elevation,55,ft.,,
Station no,RR8053,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,2.5,,,,,,,
February,,,1.05,,,,,,,
March,,,0.44,,,,,,,
April,,,0.03,,,,,,,
May,,,0.78,,,,,,,
June,,,3.34,,,,,,,
July,,,1.27,,,,,,,
August,,,1.8,,,,,,,
September,,,2.73,,,,,,,
October,,,2.3,,,,,,,
November,,,5.41,,,,,,,
December,,,3.4,,,,,,,
Total,,,25.05,,,,,,,
,,,,,,,,,,
NGR is taken as being the same as later gauges but nothing on record to confrim this.,,,,,,,,,,
