DONCASTER-OWSTON-GAUGE-1,,,,,,,,,,,,,,,,,,,,
Grid ref,SE548112,Long,-1.1735054,Lat,53.594519,Elevation,55,ft.,,,,,,,,,,,,
Station no,RR8054,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,1.8,0.5,1.69,2.34,1.29,1.33,1.59,,,,,,
February,,,,,,,,0.54,1.32,1.43,0.86,0.04,2.16,2.54,,,,,,
March,,,,,,,,1.17,2.34,3.35,1.56,1.4,0.85,0.25,,,,,,
April,,,,,,,,1.13,1.71,2.78,0.61,1.97,1.11,0.4,,,,,,
May,,,,,,,,1.75,0.58,3.87,2.16,2.35,2.48,2.31,,,,,,
June,,,,,,,,0.14,2.2,0.35,1.49,2.89,3.75,1.29,,,,,,
July,,,,,,,,1.22,5.37,1.71,2.57,2.03,2.33,3.24,,,,,,
August,,,,,,,,2,2.09,3.93,2.67,2.92,2.25,1.66,,,,,,
September,,,,,,,,2.53,1.18,1.22,1.58,1.71,1.23,1.1,,,,,,
October,,,,,,,,1.84,0.83,3.25,0.83,3.16,4.86,1.57,,,,,,
November,,,,,,,,1.5,3.85,0.65,2.83,2.57,1.1,2.1,,,,,,
December,,,,,,,,1.1,1.72,1.44,0.59,3.31,0.38,2.38,,,,,,
Total,,,,,,,,16.72,23.69,25.67,20.09,25.64,23.83,20.43,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is the garden to Owston Hall, based on the relationship to the church. Altitudes match.",,,,,,,,,,,,,,,,,,,,
Longer records combined as No. 1 gauge.,,,,,,,,,,,,,,,,,,,,
"No 1 gauge is noted as moving 330 yards NW in June 1887, gauges may not be in the same location",,,,,,,,,,,,,,,,,,,,
"Considerable duplication between gauges, particulalry 1887 and 1888",,,,,,,,,,,,,,,,,,,,
