"SLAIDBURN, MIDDLE KNOLL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD653543,Long,-2.530638,Lat,53.98358,Elevation,1288,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,0.8,0.5,4.6,6.7,8.6,4.2,6,2.1,2.42,2.7,7.25,1.9,5.8,2.4,5,1.95,3.7,1.3,6.6,7.8,7.4,4,6.05,8.5,5.8,5.1,6.6,3,7,6,6.2,2.1,5.1,5.8,6.1,7.37,7.18,3.12,5.08,8.7,7.88,9.27,2.84,10.07,3.72,4.3,6.25,3.8,18.47,3.4,9.45,10.95,10.6,5.1,8.3,3.3,6,6.2,11.6,7.8,4.2,1.1,8.7,10.15,10.8,6.3,7.2,5.6,14.02,4.48,7.48,6.86,7.85,3.85,6.82,5.68,6.54,8.05,7.87,3.85,8.47
February,4,5.9,6,4.6,4.8,4.3,1.2,2.5,0.95,5.12,1.23,1.2,3.49,4.95,6.3,0.5,3.1,3.7,4.7,3.5,4.8,2.5,1.4,7.3,3.2,2.4,3.9,2.8,6.2,4.8,9.8,5.8,2.7,2.6,5.3,6.24,4.4,0.88,9.3,1.95,5.45,0.62,5.72,5.03,1.7,5.14,6.35,3.85,9.2,1.25,0.98,10.1,0.17,6.45,0.55,11.5,2.8,9,3.6,7.4,2.8,6.75,2.5,3.8,3.2,10.1,6.2,1.13,4.6,4.87,7.6,4.76,4.06,2.86,5.12,1.82,1.47,5.42,12.12,2.39,7.41
March,3.2,5.4,5.9,0.8,4.6,5.3,5.6,2.9,2.93,5.2,5,1.3,0.3,2.2,3.4,5,5.9,6.6,2.9,3.2,0.55,4.5,2.2,7.4,3.4,3.8,2,5.1,3.1,3,1.8,3.2,8.6,6.7,6.8,3.6,2.07,2.97,2.25,9.7,4.08,5.9,4.5,1.95,1.45,1.7,2.4,4.45,4.9,2.25,6.3,0.95,5.75,3,3.65,2.15,4.7,2.2,4.1,4.2,6.7,4.1,4.2,2.15,0.9,5.8,1.7,8.15,4.25,3.92,4.68,6.72,5.2,1.69,4.82,1.67,1.81,6.69,2.74,3,1.86
April,2,3,5.6,2.1,0.9,1.9,3.1,2.3,2.7,2.4,1.9,2,1.2,0.6,2.5,3.7,2.3,4.3,3.7,4.4,4.7,2.5,2.1,2.7,5.8,4.4,1.5,3.5,2.4,4,3.5,4.5,1.9,5.8,2.2,3.4,5.87,2.95,1.05,3.7,7.02,1.7,3.14,4.06,2.45,3.9,2.95,4.7,1.8,2.45,2.8,5.25,6.25,3.4,3.3,4.65,1.3,4.9,1.95,3.7,3.95,2.8,3.7,4.1,3.95,3.9,1.8,5.3,3.1,6.8,4.33,4.22,4.6,3.92,1.98,5.17,2.67,1.05,2.82,3.55,5.34
May,2.8,5.9,3,1.4,4,1.9,5.2,2.8,2,4,3.03,2.5,5.8,2.4,2.8,0.7,1,3.2,3.7,4.2,2.3,0.9,3.6,4.4,2.6,1.7,6.5,4.1,4.1,2.9,2.9,4,2.8,3.6,4.9,2,3.83,2.4,1.58,2.19,5.46,2.8,1.92,4.18,7.08,4.75,3.7,1.75,0.75,3.5,2.1,2.95,5.85,2.5,4.9,1.25,1.9,2.5,4.8,1.3,2.1,4.7,5.9,5.3,5.5,4.4,1.95,2.86,3.52,2.79,1.9,2.3,4.64,3.8,4.11,5.66,3.82,3.26,7.87,2.14,2.35
June,6,3.7,6.8,5.6,1.1,3,2.8,0.3,2.1,1.4,5.8,1.3,3.8,2.7,4.4,3,4,5.5,4.6,1.6,7.5,1.8,1.4,2.4,1.8,3.5,2.6,9.6,3.6,2.1,3,5,8.6,3.7,1.3,1,4.16,3.02,3.23,3.3,3.55,0.63,3.31,1.26,3.6,0.24,4.5,4.7,12.3,3,2.55,8.3,1.95,3.64,3.25,6.15,4.6,3.9,8.1,5.55,0.85,1.4,1.1,5.8,5.4,7.1,4.4,2.98,8.83,1.19,5.26,1.38,6.8,3.26,6.43,4.92,4.31,2.32,3.4,4.22,3.4
July,6,6.5,10.9,5.4,5.7,2.4,9,3.5,14.1,4.1,5.6,4.7,2.2,5.2,4.1,7.8,5.1,2.7,1.7,3.9,3.5,2,7.3,4.9,2.7,4.2,2.8,3.8,5.7,8.3,6.6,1.1,4.3,1.2,4,4.5,4.69,2.26,4.63,2.81,6.31,2.46,6.81,7.83,6.6,2.25,4.9,6.45,5.5,6.3,5.9,8.1,5.7,6.2,3.7,3.95,7,3.6,7.1,10.4,7.9,2.45,6.1,6.2,5.3,4.4,6.3,5.28,3.86,3.88,7.09,4.7,7.2,9.2,13.48,1.18,5.73,8.06,5,6.72,16.45
August,2.6,7.6,5.9,6,2.3,2.7,3.9,2.8,5.9,10.1,7.2,16,8.5,5.9,8.3,7.5,4.2,8.6,7.4,1.9,6.7,5.5,4.1,9.2,4.9,5.4,5.3,7.5,5.4,4.9,9.2,4.3,8.1,2.8,3.6,3.95,5.36,10.2,5.67,4.23,3.31,7,6.29,8.93,7.62,4.35,4.4,7.9,8.9,9.1,10.1,5.9,2.85,5.6,8.7,3.8,5.05,3.1,5.3,2.6,5.95,9.2,7.6,10,4.75,3.6,,0.06,6.28,4,13.09,6.44,9.1,8.31,10.12,1.04,16.67,10.03,6.79,1,6.3
September,4.5,2.1,3.9,8.2,5.1,8.4,6.5,6.7,2.5,5.4,5.2,6.3,6.8,8.2,0.7,1.7,9.7,6.8,2.8,7.3,4.2,2.8,2.3,7.4,2.4,5.5,2.6,1.2,7.8,3.9,1.1,4.7,2.2,3,4.7,1.18,4.6,6.77,11.59,4.56,3.22,2.05,5.76,8.93,7.1,4.5,5.5,14.2,2.5,3.2,4.25,3.4,11.75,1.65,6.7,10.9,7.3,3.6,3.7,2.8,11.45,3.05,6.6,7.2,9.9,4.7,9.9,5.14,7.35,3.65,12.18,5.71,7.5,9.87,10.89,5.1,4.62,12,6.59,0.96,5.4
October,1,3.9,5.3,8.6,5.2,6.3,6.3,3.8,3,7.1,5.52,5.9,6.9,8.3,6.5,6.8,4,2.5,5.7,4.5,9.4,4.4,6.4,13,4,5.5,10.2,5.3,3.4,8.5,4.5,5.7,5.6,3.8,2.7,1.61,13.75,6.72,4.84,2.57,1.76,3.49,1.39,10.24,6.8,7.9,4.5,5.1,9.1,10.8,12.3,5.05,10.55,6.72,12.4,14.3,8.55,2.55,19.55,2.9,4.45,8.3,9.35,5.55,9.4,8.5,1.45,1.14,5.83,7.89,5.18,2.67,6.85,2.55,16.37,4.61,4.98,10.99,6.68,9.65,4.65
