"HAMMERSMITH PUMPING STATION (+A) LONDON ",,,,,,,,,,,,
Grid ref,TQ232782,Long,-0.226904,Lat,51.489336,,,,,,,
Station no,27,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,1.48,0.89,0.96,2.32,3.60,1.28,1.86,2.54,1.56,,
February,5.04,0.78,1.26,2.19,1.43,0.22,2.89,2.06,0.06,2.12,,
March,3.06,2.61,0.49,2.02,0.97,0.97,1.00,1.17,1.42,1.81,,
April,2.57,1.36,2.45,0.32,0.30,1.01,0.25,1.45,2.40,0.48,,
May,2.02,1.64,1.32,2.74,4.44,0.19,1.20,2.40,0.60,1.67,,
June,1.10,1.57,2.21,3.79,2.09,1.70,0.91,5.10,1.11,0.89,,
July,1.01,0.53,4.00,2.51,0.88,5.53,2.92,2.15,1.30,3.17,,
August,2.86,2.40,1.70,3.57,0.82,4.04,1.99,3.31,0.99,2.97,,
September,2.32,2.73,1.59,1.79,1.49,1.95,2.49,3.85,0.06,3.79,,
October,1.02,2.51,3.08,2.16,2.52,2.08,1.73,2.71,2.05,5.08,,
November,4.81,3.46,0.92,3.63,0.59,0.39,2.31,1.95,2.45,3.69,,
December,1.67,2.45,0.58,1.73,1.77,2.29,2.10,2.72,3.31,2.24,,
Total,30.58,23.52,20.49,27.41,19.62,23.97,21.07,30.73,18.29,29.47,,
Calc annual,30.58,23.52,20.49,27.41,19.62,23.97,21.07,30.73,18.29,29.47,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
