AYLESBURY (COUNTY FARM),,,,,,,,,,,,
Grid ref,SP842114,Long,-0.780487,Lat,51.794923,,,,,,,
Station no,986/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.64,1.06,0.96,2.05,2.92,1.14,2.61,3.11,2.60,,
February,,0.75,1.75,1.84,1.18,0.15,2.40,2.13,0.01,2.12,,
March,3.38,2.37,0.68,2.50,0.99,1.00,0.98,1.20,2.10,0.96,,
April,2.68,1.55,2.19,0.33,0.42,1.13,0.18,0.90,1.75,0.68,,
May,,2.53,1.67,2.99,4.79,0.27,1.00,1.58,0.62,1.74,,
June,,1.07,1.90,3.44,2.12,2.10,2.07,3.82,2.46,1.35,,
July,,0.51,2.96,2.17,0.25,2.21,2.91,3.05,3.06,3.62,,
August,,3.56,2.56,3.17,0.40,3.46,2.24,2.85,1.20,2.93,,
September,2.67,2.71,1.67,2.02,2.30,1.93,2.75,3.80,0.13,3.70,,
October,0.82,3.07,2.41,2.04,1.90,2.08,2.20,2.35,1.92,4.70,,
November,5.10,3.23,1.01,4.22,1.00,0.82,2.21,2.22,2.08,3.42,,
December,1.76,2.52,0.60,2.38,2.83,2.88,2.42,2.40,3.78,3.20,,
Total,,25.51,20.46,28.06,20.23,20.95,22.50,28.91,22.22,31.02,,
Calc annual,16.41,25.51,20.46,28.06,20.23,20.95,22.50,28.91,22.22,31.02,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
