ALRESFORD-HINTON-AMPNER-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SU597277,Long,-1.14867,Lat,51.0457,Elevation,330,ft,,,,,,,,,,,,
Station no,RR7640,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3.5,3.46,2.6,3.87,3.49,1.41,1.13,4.73,3.55,0.92,2.09,4.45,2.97,1.21,2.37,0.46,3.62
February,,,,5.1,3.3,4.81,0.57,1.3,0.81,2.29,0.75,0.08,0.87,4.35,1.95,0.14,0.42,3.84,1.86,3.37
March,,,,1.05,2.76,1.95,2.35,1.55,3.91,2.78,1.55,2.64,1.24,0.27,1.84,2.11,4.23,5,0.65,0.82
April,,,,1.56,1.8,1.7,2.15,1.77,1.97,2.03,2.67,0.87,0.92,0.08,2.51,2.63,0.41,2.03,1.43,2.96
May,,,,2.09,0.77,3.97,3.67,1.54,2.88,2.83,2.21,2.44,0.87,0.79,2.21,0.91,0.36,1.43,3.61,1.04
June,,,,2.19,1.85,1.51,0.98,1.56,3.18,2.22,2.96,1.51,1.66,1.74,2.23,1.44,1.66,1.93,1.87,1.68
July,,,,2.39,2.48,0.2,2.44,0.47,4.74,2.21,3.66,4.48,2.36,3.43,6,4.38,0.59,0.97,0.74,1.84
August,,,,1.2,1.16,0.55,1.77,2.91,3.13,2.37,3.34,5.75,4.37,1.11,1.53,2.8,2.76,4.41,1.19,1.48
September,,,,4.79,2.62,4.67,2.08,3.19,1.22,1.09,0.85,2.18,4.66,2.06,1.88,0.95,7.93,2.44,1.59,1.85
October,,,,3.08,0.99,4.41,4.11,1.35,1.74,6.3,1.25,11.22,5,4.31,5.02,3.11,3.33,0.72,4.79,3.12
November,,,,4.84,1.2,3.05,4.71,4.51,5.46,1.88,2.24,3.91,3.29,2.59,5.59,5.71,1.08,1.24,4.94,5.87
December,,,,1.11,4.43,1.94,6.16,2.32,1.79,2.27,0.88,5.64,1.77,3.3,2.92,2.67,5.09,4.77,4.02,1.61
Total,,31.06,35.39,32.9,26.82,31.36,34.86,25.96,32.24,29.4,27.09,44.27,27.93,26.12,38.13,29.82,29.07,31.15,27.15,29.26
,,,,,,,,,,,,,,,,,,,,
1890 Observer died,,,,,,,,,,,,,,,,,,,,
