"BRIDGEND (ERW GRAIG)",,,,,,,,,,,,
Grid ref,SS897786,Long,-3.590282,Lat,51.495547,,,,,,,
Station no,4062,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.70,4.55,1.77,3.16,2.98,5.20,2.93,2.76,4.72,4.34,,
February,3.96,1.16,2.36,5.20,2.83,0.43,4.28,4.12,0.45,3.24,,
March,5.11,3.41,1.82,2.62,1.29,1.41,4.69,0.82,3.09,2.07,,
April,4.07,2.84,3.55,0.82,2.85,1.90,0.41,0.83,2.98,2.55,,
May,2.50,4.10,3.32,2.42,3.75,1.35,1.88,3.93,0.83,1.28,,
June,0.72,3.32,2.78,5.10,4.93,2.78,1.23,5.26,2.12,1.73,,
July,1.79,1.99,5.97,5.91,1.49,4.52,5.46,4.02,4.04,7.13,,
August,6.71,5.86,6.42,4.14,0.86,7.39,4.79,5.12,2.90,4.47,,
September,4.30,4.96,5.42,5.77,2.71,5.47,6.24,6.31,0.62,6.12,,
October,2.07,4.81,2.95,6.17,2.22,1.95,3.86,5.82,6.06,5.54,,
November,7.88,3.72,3.74,7.58,3.12,1.77,2.65,4.41,5.80,9.05,,
December,3.64,4.22,1.83,3.75,6.37,4.86,2.19,4.52,8.03,5.67,,
Total,48.45,44.94,41.93,52.64,35.40,39.03,40.61,47.92,41.64,53.19,,
Calc annual,48.45,44.94,41.93,52.64,35.40,39.03,40.61,47.92,41.64,53.19,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
