ST ANDREWS CASTLE CLIFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 5118 1696,Long,-2.791358,Lat,56.342467,Elevation,57,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.22,,1.53,4.95,1.77,2.08,1.25,0.55,,,,,3.14,2.45,1.83,1.02,3.65,,,,,,,,,
February,,,,,1.12,,5.68,2.11,0.99,3.21,2.67,4.77,,,,,0.84,1.18,1.19,1.24,1.11,,,,,,,,,
March,,,,,1.18,,2.72,2.23,0.68,2.19,2.63,2.35,,,,,2.78,1.57,3.4,1.38,1.86,,,,,,,,,
April,,,,,1.76,,4.15,2.58,1.48,2.66,3.06,1.14,,,,,1.93,1.51,1.59,3.37,0.58,,,,,,,,,
May,,,,,2.34,,0.55,1.98,2.38,1.98,0.95,1.76,,,,,3.51,1.04,1.7,1.53,2.22,,,,,,,,,
June,,,,,,,2.46,2.79,2.39,4.36,1.44,2.75,,,,,1.34,0.75,2.62,0.71,2.59,,,,,,,,,
July,,,,,1.03,,1.85,3.63,0.54,4.92,2.42,3.01,,,,,3.33,2.23,5.84,2.98,1.97,,,,,,,,,
August,,,,,4.29,,3.19,7.5,3.55,4.35,0.8,5.38,,,,,1.11,2.08,1.53,5.44,2.61,,,,,,,,,
September,,,,,2,,4.9,1.63,2.89,2.39,3.71,3.75,,,,,2.42,5.11,0.42,0.73,3.13,,,,,,,,,
October,,,,,3.85,,3.46,3.6,2.04,0.71,1.9,4.34,,,,,3.33,0.94,1.14,2.71,2.87,,,,,,,,,
November,,,,,2.23,,5.7,3.14,1.96,1.97,3.41,3.75,,,,,2.19,3,5.25,0.62,6.18,,,,,,,,,
December,,,,,,,8.39,2.48,2.05,1.3,2.19,2.71,,,,,2.51,1.75,2.17,1.1,1.57,,,,,,,,,
Total,,,,,,,44.58,38.62,22.72,32.12,26.43,36.26,,,,,28.43,23.61,28.68,22.83,30.34,,,,,,,,,
