Rainfall at,SHAWS W.W. SHIELHILL
,
Station no,5312,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,10.80,18.10,7.00,9.70,7.00,5.10,10.30,10.10,18.50,2.80,10.80,
February,10.50,3.20,8.30,8.50,1.70,3.70,7.60,5.40,6.40,2.30,0.80,
March,7.40,10.80,3.30,3.50,1.40,2.60,7.10,5.30,7.70,1.80,4.30,
April,3.30,1.70,4.30,4.80,4.00,7.40,3.10,4.20,2.70,1.60,2.40,
May,8.70,3.80,7.20,3.30,6.30,9.80,3.50,4.30,2.10,6.70,3.30,
June,2.70,0.80,3.70,2.20,4.10,2.10,4.40,5.10,7.10,4.30,3.60,
July,4.50,5.80,4.10,6.30,5.40,2.10,3.80,6.80,5.20,6.80,4.70,
August,7.20,9.10,4.40,8.80,5.80,4.40,6.10,7.40,5.00,8.60,8.20,
September,5.10,4.20,4.80,16.60,9.00,3.90,5.50,12.00,6.10,2.90,6.50,
October,4.50,7.60,4.80,13.50,5.00,6.90,8.80,10.50,13.10,10.30,10.80,
November,9.50,4.60,4.60,5.10,6.30,1.60,10.40,11.70,12.20,9.90,11.00,
December,7.10,13.20,6.50,6.30,13.20,3.20,6.20,2.40,8.30,16.10,6.10,
Total,81.30,82.90,63.00,88.60,69.20,52.80,76.80,85.20,94.40,74.10,72.50,
Calc annual,81.30,82.90,63.00,88.60,69.20,52.80,76.80,85.20,94.40,74.10,72.50,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,
