Rainfall at,GREENOCK SHAWS W.W. NO3 SHIEL HILL
,
Station no,5312,
,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,5.20,4.30,11.80,,7.70,9.50,5.10,10.80,7.70,1.70,
February,4.90,10.10,8.20,,2.30,2.30,6.50,6.60,4.60,3.20,
March,1.70,5.50,6.30,,6.80,2.00,4.90,4.30,3.30,5.00,
April,3.00,5.50,2.30,,3.30,2.40,3.60,5.00,3.80,2.50,
May,7.50,1.10,3.90,,2.60,5.50,0.80,3.90,5.80,3.20,
June,2.40,2.70,9.60,,1.90,4.00,4.30,5.30,3.50,6.80,
July,2.90,4.10,5.80,,2.40,2.50,4.00,5.90,1.50,5.70,
August,2.20,5.00,5.30,,6.40,6.00,6.20,9.70,3.60,6.70,
September,4.30,3.50,11.10,,8.80,5.70,3.60,2.80,7.60,12.40,
October,7.10,7.10,6.20,,13.70,9.70,8.00,9.60,9.40,4.30,
November,2.80,5.00,10.80,,7.00,7.00,2.90,10.90,2.60,2.40,
December,4.30,8.80,7.60,,1.60,6.90,10.90,10.10,2.30,5.00,
Total,48.30,62.70,88.90,,64.50,63.50,60.80,84.90,55.70,58.90,
Calc annual,48.30,62.70,88.90,0.00,64.50,63.50,60.80,84.90,55.70,58.90,
Difference,0.00,0.00,0.00,NaN,0.00,-0.00,-0.00,0.00,0.00,0.00,
