Rainfall at,SHAWS W.W. (SHIELHILL)
,
Station no,5312,
,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,7.20,14.30,9.90,12.50,4.80,6.20,10.50,11.30,5.00,4.30,
February,5.10,0.20,6.80,1.50,9.90,3.80,6.10,5.60,10.40,3.00,
March,1.60,3.30,5.70,3.00,2.80,4.10,1.90,9.20,4.40,6.30,
April,2.50,6.00,4.90,4.40,3.80,1.90,3.70,1.50,4.40,4.10,
May,5.80,2.90,4.10,5.50,0.80,3.00,1.80,5.90,1.90,1.10,
June,8.70,2.10,3.50,3.70,5.30,2.90,5.50,9.10,2.80,1.40,
July,5.30,5.20,5.60,4.00,4.00,8.50,6.70,6.50,7.60,4.20,
August,2.80,4.00,5.20,7.60,3.80,4.60,4.40,4.50,3.10,3.40,
September,2.00,6.50,1.10,7.80,9.60,4.80,6.10,7.10,3.80,6.50,
October,7.50,9.40,4.00,12.20,15.40,8.90,3.00,14.40,4.60,8.40,
November,9.50,6.90,3.70,4.30,7.00,5.50,1.90,13.50,13.00,9.40,
December,10.20,14.40,2.90,11.00,4.40,13.10,3.80,7.50,3.10,9.60,
Total,68.20,75.20,57.40,77.50,71.60,67.30,55.40,96.10,64.10,61.70,
Calc annual,68.20,75.20,57.40,77.50,71.60,67.30,55.40,96.10,64.10,61.70,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,
