KESTEVEN MENTAL HOSPITAL,,,,,,,,,,,,,,,,,,,,
Grid ref,TF041440,Long,-0.451,Lat,52.983,Elevation,100,ft,,,,,,,,,,,,
Station no,2541,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932
January,3.00,1.27,2.45,0.78,2.07,1.74,2.94,1.87,1.85,2.64,1.66,2.00,1.51,3.03,1.72,3.24,1.33,2.44,2.44,0.82
February,0.61,0.82,1.72,4.82,0.93,1.54,2.61,1.16,0.32,2.34,4.20,0.86,1.85,1.16,1.63,1.37,0.60,0.68,3.21,1.09
March,2.56,2.22,1.12,4.17,1.72,0.61,2.85,2.60,0.67,1.23,1.52,0.54,1.08,0.64,2.04,2.29,0.25,1.85,0.53,1.90
April,1.69,0.95,0.55,1.49,1.13,1.39,1.90,4.95,0.93,2.66,0.73,1.67,1.31,2.01,1.86,0.69,1.03,2.72,2.90,2.69
May,1.56,1.20,1.33,2.16,1.61,2.38,0.91,1.80,1.21,0.77,1.66,3.10,3.35,2.95,0.81,1.51,1.34,2.01,3.88,4.25
June,0.92,2.30,0.51,1.19,1.05,0.36,0.83,1.82,2.14,0.61,0.75,1.89,0.12,2.21,2.82,2.95,1.50,0.65,3.56,0.45
July,0.74,2.04,4.70,1.55,1.03,2.21,3.01,2.02,0.30,4.50,3.16,1.96,0.89,1.54,2.11,1.00,1.59,2.31,4.39,7.69
August,0.15,1.03,3.60,1.79,4.84,1.75,2.55,1.33,2.94,2.65,1.60,2.11,1.24,2.35,4.33,2.28,1.27,2.50,3.94,1.90
September,1.47,0.76,1.04,1.25,1.09,3.71,2.02,1.33,0.87,2.26,2.12,1.56,2.58,0.92,3.69,0.57,0.36,4.77,2.85,2.40
October,5.91,2.07,1.04,1.76,2.49,1.46,1.75,1.14,1.82,1.08,2.09,4.02,2.68,2.07,1.96,3.81,2.21,1.89,0.64,3.13
November,1.74,2.67,2.27,3.20,1.10,2.04,1.93,0.66,1.25,1.19,2.38,1.72,2.11,2.67,3.01,2.46,4.18,3.08,2.44,1.81
December,0.65,4.51,5.02,2.69,0.69,2.49,3.12,2.48,1.28,3.48,2.75,1.93,1.89,0.85,3.77,1.83,4.02,1.96,1.14,0.75
Total,21.00,21.84,25.35,26.85,19.75,21.68,26.42,23.16,15.58,25.41,24.62,23.36,20.61,22.40,29.75,24.00,19.68,26.86,31.92,28.88
,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/040,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/038,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/111,,,,,,,,,,,,,,,,,,,,
