ATHERSTONE (BADDESLEY COLLIERY),,,,,,,,,,,,,,,,,,,,
Grid ref,SP278971,Long,-1.5912543,Lat,52.571018,Elevation,490,ft,,,,,,,,,,,,
Station no,2489/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.92,3.53,2.18,4.87,2,4.04,3.2,4.01,2.08,2.05,,,,,
February,,,,,,2.28,3.47,0.5,1.14,2.25,2.84,0.95,0.94,1.54,1.87,,,,,
March,,,,,,1.89,2.51,0.28,1.44,1.52,2.44,1.57,1.16,0.17,0.61,,,,,
April,,,,,,2.16,2.63,0.06,1.69,3.12,1.45,1.1,0.94,1.85,0.7,,,,,
May,,,,,,1.12,2.49,2.05,1.57,1.46,3.18,2.7,2.93,0.55,3.25,,,,,
June,,,,,2.54,5.71,0.53,2.24,1.48,0.65,1.55,0.14,1.67,1.42,2.97,,,,,
July,,,,,0.46,4.81,2.41,2.72,3.71,4.06,6.35,1.58,0.8,2.68,2.62,,,,,
August,,,,,1.56,0.57,0.69,1.66,2.35,0.26,3.54,2.34,1.3,3.06,1.28,,,,,
September,,,,,3.2,2.68,1.77,2.7,0.74,0.68,0.36,1.1,1.63,2.93,1.36,,,,,
October,,,,,2.65,1.52,2.19,2.3,3.89,3.88,2.39,2.68,2.03,2.47,3.31,,,,,
November,,,,,5.52,2.44,1.53,2.17,3.38,5.87,2.78,1.64,1.56,3.17,0.22,,,,,
December,,,,,3.81,1.98,2,3.02,1.25,1.63,1.12,2.41,0.83,1.54,2.43,,,,,
Total,,,,,,30.08,25.75,21.88,27.51,27.38,32.04,21.41,19.8,23.46,22.67,,,,,
