"TEWKESBURY (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SO890337,Long,-2.161643,Lat,52.001629,,,,,,,
Station no,2180,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.32,1.62,0.69,1.32,2.45,3.12,1.53,1.71,3.37,3.21,,
February,2.80,0.55,1.25,2.12,1.19,0.42,2.25,3.09,0.09,1.66,,
March,3.86,1.92,1.04,1.93,1.79,0.46,2.00,0.90,2.11,1.15,,
April,2.79,1.79,2.46,0.32,1.65,1.24,0.01,0.41,2.22,1.04,,
May,3.35,3.20,2.09,1.75,5.14,0.71,0.91,2.41,0.53,1.24,,
June,0.58,1.68,1.81,2.89,3.28,1.39,0.99,2.99,1.05,1.65,,
July,0.66,0.38,3.85,1.96,0.37,2.79,2.84,3.04,1.30,2.58,,
August,4.05,3.74,2.45,3.38,0.40,3.77,4.51,1.72,1.03,3.61,,
September,1.92,0.84,2.39,1.72,0.92,2.88,3.27,3.70,0.15,3.85,,
October,1.35,4.49,1.49,3.07,0.85,1.38,1.19,2.30,1.56,4.99,,
November,5.48,3.17,0.76,4.81,2.98,0.80,1.58,3.57,3.32,3.74,,
December,1.48,2.21,0.70,1.70,2.04,2.12,1.96,2.29,4.46,2.15,,
Total,30.64,25.59,20.98,26.97,23.06,21.08,23.04,28.13,21.19,30.87,,
Calc annual,30.64,25.59,20.98,26.97,23.06,21.08,23.04,28.13,21.19,30.87,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
