HENSTRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST724196,Long,-2.394485,Lat,50.975145,Elevation,256,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2118/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.92,2.81,3.5,4.58,7.33,2.02,2.44,3.3,2.63,5.69,0.74,0.83,3.35,2.73,0.85,1.75,3.1,,,,,
February,,,,,,,,,2.05,3.62,3.2,0.16,1.42,0.81,2.04,2.63,1.57,1.37,1.44,5.62,5.55,0.86,2.04,3.52,1.9,,,,,
March,,,,,,,,,1.27,2.53,3.42,2.53,0.89,0.37,1.02,0.93,6.98,1.26,1.81,1.32,3.4,2.98,0.67,3.96,1.45,,,,,
April,,,,,,,,,2.24,1.99,1.53,1.6,0.85,1.47,0.74,3.67,2.37,2.16,1.88,3.55,3.51,1.97,2.58,0.22,0.99,,,,,
May,,,,,,,,,0.45,1.78,2.83,4.04,2.45,0.51,3.46,4.22,2.24,2.74,2.19,2,2.61,3.17,2.01,2.08,,,,,,
June,,,,,,,,,2.14,0.5,2.46,0.45,2.48,1.62,3.2,3.99,1.46,2.45,0.44,1.73,0.5,2.24,2.83,3.24,,,,,,
July,,,,,,,,,6.78,3.29,2.22,1.25,2.96,2.77,1.62,1.74,1.63,1.56,1.37,4.78,2.48,1.04,4.59,3.37,,,,,,
August,,,,,,,,,4.08,0.25,3.94,3.56,3.41,2.71,2.15,5.28,0.95,4.94,1.58,4.95,5.41,3.45,2.93,2.54,,,,,,
September,,,,,,,,,0.67,1.73,0.75,2.54,1.66,1.73,4.36,4.82,1.54,2.24,3.08,4.77,3.32,3.71,3.27,3,,,,,,
October,,,,,,,,,3.8,4.51,1.43,3.47,4.03,4.81,3.76,0.86,0.77,3.04,7.78,1.35,0.98,3.85,3.81,2.8,,,,,,
November,,,,,,,,,6.62,8.64,1.96,1.74,2.75,6.27,0.65,6.28,1.85,1.94,4.43,6.1,9.25,3.93,1.82,7.49,,,,,,
December,,,,,,,,,2.12,3.58,1.65,5.2,2.93,3.3,4.13,3.94,3.44,6.16,2.25,2.64,3.22,3.1,0.96,3.02,,,,,,
Total,,,,,,,,,38.14,35.23,28.89,31.12,33.16,28.39,29.57,41.66,27.43,35.55,28.99,39.64,43.58,33.03,28.36,36.99,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer moved from Stn No 2120/5 HORSINGTON MARSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lived in the High St near Furge St matching NGR on sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Apr Terminated Observer unable to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
