"MACHEN (MACHEN QUARRY)",,,,,,,,,,,,
Grid ref,ST222884,Long,-3.124401,Lat,51.589060,,,,,,,
Station no,4003,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.14,5.02,1.19,3.57,3.91,5.68,6.34,5.22,6.40,5.36,,
February,5.70,1.04,2.53,5.47,2.21,0.43,6.29,6.09,0.34,4.53,,
March,5.22,3.51,2.21,5.04,2.30,1.62,6.28,1.20,3.83,2.15,,
April,4.18,3.89,5.06,0.90,2.32,2.50,0.17,0.92,3.91,2.57,,
May,3.02,4.39,3.80,2.81,5.94,1.30,2.11,4.49,1.12,1.62,,
June,1.58,2.24,2.68,6.34,4.45,3.35,1.31,3.70,2.09,2.65,,
July,1.41,3.06,6.30,3.04,0.44,4.54,4.58,4.41,3.89,5.37,,
August,6.59,7.01,5.42,4.63,1.06,6.01,4.30,6.20,1.77,5.12,,
September,5.53,3.77,5.60,6.48,1.99,5.89,6.29,8.80,0.26,6.01,,
October,1.65,6.10,4.00,7.31,2.80,2.26,4.86,5.20,4.91,8.62,,
November,10.19,5.63,4.05,11.06,5.63,1.30,2.53,2.49,6.41,11.11,,
December,5.30,3.51,1.69,4.22,7.93,6.42,3.57,4.97,11.81,7.38,,
Total,56.51,49.17,44.53,60.87,40.98,41.30,48.63,53.69,46.74,62.49,,
Calc annual,56.51,49.17,44.53,60.87,40.98,41.30,48.63,53.69,46.74,62.49,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
