MACHEN-FWRRWM-ROAD,,,,,,,,,,
Grid ref,ST206890,Long,-3.1476268,Lat,51.59423,Elevation,250,ft.,,
Station no,4003,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.91,5.68,6.34,5.22,6.4,5.36
February,,,,,2.21,0.43,6.29,6.09,0.34,4.53
March,,,,,2.3,1.62,6.28,1.2,3.83,2.15
April,,,,0.9,2.32,2.5,0.17,0.92,3.91,2.57
May,,,,2.81,5.94,1.3,2.11,4.49,1.12,1.62
June,,,,6.34,4.45,3.35,1.31,3.7,2.09,2.65
July,,,,3.04,0.44,4.54,4.58,4.41,3.89,5.37
August,,,,4.63,1.06,6.01,4.3,6.2,1.77,5.12
September,,,,6.48,1.99,5.89,6.29,8.8,0.26,6.01
October,,,,7.31,2.8,2.26,4.86,5.2,4.91,8.62
November,,,,11.06,5.63,1.3,2.53,2.49,6.41,
December,,,,4.22,7.93,6.42,3.57,4.97,11.81,
Total,,,,,40.98,41.3,48.63,53.69,46.74,
,,,,,,,,,,
"NGR is Fwrrwm Rd, altitudes match. Gauge moved to Wyndham Street, NGR ST210893, on 24 Nov 1960 about 400m ENE",,,,,,,,,,
