TONBRIDGE HOOKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ590450,Long,0.2743,Lat,51.1825,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769
January,,,,,,,,,,0.5,0.62,0.77,0.54,1.24,1.64,3.32,4.04,0.65,2.12,4.29,0.3,1.16,2.87,0.93,0.58,0.66,2.83,2.82,0.64,6.14,2.9,3.35,2.23,2.5,2.63,1.28,2.52,3.19,2.01,1.66,2.5,0.37,2.81,0.33,5.29,2.54,,,,
February,,,,,,,,,,1.07,2.05,1.09,2.28,1.92,2.43,1.04,2.95,3.24,1.1,3.24,0.48,1.33,1.49,0.89,1.83,0.62,2.72,2.76,1.22,1.48,2.64,1.6,2.29,2.16,1.7,0.79,2.13,1.04,2.63,0.79,3.31,1.73,1.48,5.41,2.23,2,,,,
March,,,,,,,,,,1.29,4.07,0.03,1.21,2.16,1.98,2.03,2.36,3.52,3.15,1.76,1.16,0.64,0.11,2.08,1.77,3.22,2.2,1.34,2.84,2,1.2,3.94,1.4,1.48,2.33,1.48,2.89,1.87,1.81,2.7,0.64,0.8,2.34,1.58,1.12,5.22,,,,
April,,,,,,,,,,2.2,0.99,1.43,1.31,1.82,0.6,1.65,0.77,1.15,1.95,3.48,2.45,0.69,1.76,2.46,5.02,2.76,1.61,1.29,2.87,1.64,3.11,2.46,1.13,2.62,1.22,3.09,4.39,3.07,1.24,1.83,0.3,0.8,0.31,1.33,1.99,2.87,,,,
May,,,,,,,,,,2.22,1.81,0.27,3.49,0.22,3.89,2,1.57,1.86,1.84,2.8,1.66,2.9,1.71,1.19,0.61,1.21,1.91,0.69,1.04,1.25,1.59,2.66,2.04,1.72,1.36,2.13,0.56,1.38,1.39,1.27,1.36,3.54,0.56,1.12,1.6,0.73,,,,
June,,,,,,,,,,0.73,2.88,2.65,0.8,1.74,2.14,2.56,3.1,1.79,4.28,1.05,1.22,2.04,2.37,1.01,1.95,4.81,4.25,4.11,2.57,1.69,1.36,1.89,2.5,0.92,2.39,2.05,2.76,0.29,2.17,3.33,2.86,2.94,1.9,1.45,1.36,0.81,,,,
July,,,,,,,,,,2.15,2.6,1.56,1.53,0.98,1.4,3.7,1.48,1.06,0.85,2.8,1.56,2.24,2.24,3.22,1.07,1.54,2.12,1.48,1.05,1.25,2.33,4.24,2.68,1.61,1.66,2.51,2.41,2.03,5.83,1.12,2.28,0.75,0.95,3.49,3.14,0.28,,,,
August,,,,,,,,,0.83,2.53,0.14,0.98,0.93,3.35,2.16,1.51,2.17,5.96,2.29,2.76,3.6,0.93,0.11,1.93,2.31,3.21,0.93,0.4,1.99,0.91,0.97,1.75,1.73,2.91,3.21,3.51,4.4,4.04,3.82,1.96,2.62,3.73,3.82,2.47,3.76,,,,,
September,,,,,,,,,1.04,2.34,2.04,0.59,0.83,1.5,1.59,2.1,1.65,5.22,3.61,4.32,1.74,3.36,2.77,0.15,3.91,1.33,1.92,2.83,1.19,2.52,2.02,3.02,1.44,0.68,0.08,2.28,1.37,1.4,1.35,1.51,3.3,3.22,2.12,2.63,1.48,,,,,
October,,,,,,,,,2.71,2.22,2.42,1.4,3.29,0.79,3.13,2.78,3.59,3.29,5.12,1.41,1.13,3.57,2.39,2.08,7.64,3.59,1.95,0.85,1.72,2.65,2.36,1.88,0.42,1.37,2.55,1.8,3.56,1.7,1.64,3.05,3.67,3.02,6.33,1.84,1.85,,,,,
