BIRDSALL GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE819651,Long,-0.750,Lat,54.075,Elevation,308,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,0.67,1.42,0.86,3.12,1.78,3.55,3.97,1.56,3.96,1.02,4.29,2.08,3.22,3.62,2.96,4.05,1.93,2.76,1.53,3.51,2.20,6.08,2.36,4.04,3.11,1.68,2.11,2.40,2.34,4.82,4.48,3.33,4.54,2.51,3.30,3.88,4.52,2.89,5.05,2.42,3.65,6.31,0.90,1.50,2.25,2.27,1.19,1.63,1.87,6.15,1.42,3.02,2.89,5.92
February,1.58,1.79,1.45,3.78,1.42,1.49,0.91,1.84,4.56,3.85,0.86,2.32,1.72,0.99,0.20,3.06,5.25,1.59,3.68,1.86,1.64,1.94,1.20,1.12,2.70,1.21,5.48,1.37,3.45,2.93,4.04,1.05,1.71,1.64,4.26,1.50,0.36,2.14,2.20,1.71,3.59,1.42,0.89,4.53,3.48,0.91,2.50,2.67,2.52,3.29,3.25,4.28,0.35,2.37
March,1.24,3.68,5.04,0.76,1.92,3.70,2.28,2.21,1.59,3.53,2.55,1.69,4.23,2.15,1.40,2.65,1.65,1.23,1.56,0.76,1.95,3.25,0.28,2.46,1.08,1.51,2.26,3.27,0.50,1.52,3.91,0.18,2.92,1.93,3.07,1.33,0.33,0.37,0.59,1.32,4.79,0.75,1.47,1.39,3.61,2.65,0.23,2.32,2.77,1.69,1.74,3.20,1.67,1.32
April,1.67,2.86,2.76,2.48,1.27,0.14,2.77,0.57,1.23,2.10,2.79,1.60,1.88,4.29,1.53,2.03,1.76,2.17,2.57,1.16,2.51,1.18,1.32,3.37,3.62,2.21,0.96,3.09,2.34,1.67,3.57,0.16,1.23,1.63,1.88,1.35,1.17,2.52,1.77,2.03,2.45,1.48,2.04,2.84,1.36,1.42,2.81,0.42,1.44,1.11,0.60,1.35,3.10,1.22
May,3.45,2.09,1.57,4.09,1.20,2.52,2.62,1.92,1.24,3.17,1.33,1.92,1.09,2.26,1.77,0.81,2.85,3.81,3.12,2.19,0.85,1.54,1.54,0.95,2.95,6.14,2.04,1.59,1.00,1.55,2.92,4.57,1.66,0.96,1.56,3.45,2.63,0.80,1.70,2.00,0.96,2.56,2.49,1.69,3.67,1.39,1.72,4.12,3.20,1.06,1.78,3.18,0.58,1.18
June,3.07,0.90,2.26,2.58,3.56,5.35,1.51,2.13,0.22,2.15,1.76,0.91,1.11,0.93,0.25,2.27,0.67,1.79,0.22,4.13,3.16,4.17,1.38,1.43,3.87,0.59,2.41,1.43,1.84,3.04,1.72,1.88,2.86,0.59,0.90,1.03,2.27,3.28,3.82,2.90,2.68,5.17,0.74,1.12,2.01,2.00,1.72,2.10,2.20,3.14,1.83,4.74,1.92,0.74
July,1.31,2.78,3.32,3.60,1.72,3.47,0.34,3.60,5.11,2.91,1.70,4.20,2.63,6.04,1.83,4.95,3.80,4.59,1.42,2.75,3.78,0.79,1.74,6.20,4.08,1.80,1.36,1.38,0.36,3.36,1.67,2.55,3.65,6.94,2.99,3.40,1.19,2.10,1.61,3.33,2.15,1.32,2.03,2.38,1.89,2.18,2.47,2.18,1.50,4.40,3.59,3.58,2.36,5.02
August,2.61,2.52,3.57,3.98,3.23,4.79,0.86,2.02,2.31,2.24,7.00,2.24,2.79,1.91,4.85,4.01,4.68,2.68,3.36,2.56,6.10,4.76,2.58,4.19,2.33,1.59,0.25,2.78,1.54,2.70,1.20,4.28,1.98,0.96,2.80,2.03,3.51,4.05,3.75,3.77,0.47,3.25,2.12,5.11,6.60,2.70,3.70,6.83,0.94,6.71,5.10,3.10,0.29,3.79
September,0.63,2.01,1.57,0.59,2.48,1.97,1.30,2.07,1.37,1.25,0.91,5.61,1.25,1.56,0.89,2.18,2.83,2.98,2.71,1.16,4.52,0.58,0.58,3.68,4.33,2.60,2.26,1.71,5.06,2.06,1.59,1.86,1.06,2.49,0.70,2.26,3.47,5.65,1.69,5.20,1.45,1.82,0.60,3.57,2.20,4.20,1.51,2.20,1.42,1.54,3.12,2.65,0.36,3.27
October,5.57,1.22,3.15,2.98,2.61,2.69,3.73,2.23,1.20,3.79,3.81,1.53,4.76,2.01,1.89,0.98,2.22,3.40,2.87,3.31,2.35,4.12,2.79,2.33,1.31,3.51,4.33,1.64,4.38,2.14,3.30,4.19,4.66,3.99,3.09,2.02,1.59,3.17,3.28,0.80,0.85,1.67,2.52,1.49,1.40,3.51,1.73,4.32,2.16,1.70,2.82,2.24,1.92,6.30
