OLNEY-GRESHAM-HOUSE,,,,,,,,,,
Grid ref,SP888510,Long,-0.70357268,Lat,52.150155,Elevation,150,ft,,
Station no,1028/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,1.04,1.42,0.72,3.83,3.1,2.44,,
February,,,1.7,0.39,2.47,1.87,3.29,0.78,,
March,,,2.16,1.34,0.43,1.32,3.78,0.19,,
April,,,0.53,1.45,3.23,1.65,2.71,0.14,,
May,,,1.15,0.51,1.49,1.22,4.23,1.75,,
June,,,2.7,1.01,2.77,3.15,1.56,1.18,,
July,,,0.77,3.32,0.78,4.81,1.42,1.23,,
August,,,0.86,1.67,1.47,0.58,1.81,4.46,,
September,,,2.01,2.48,4.54,3.3,1.4,2.07,,
October,,,1.58,1.51,1.76,1.66,3.03,2.83,,
November,,,1.54,1.95,4.55,2.13,1.79,2.33,,
December,,,0.36,4.44,2.38,1.57,1.95,3.2,,
Total,,,16.4,21.49,26.59,27.09,30.07,22.6,,
