MATTERDALE COUNCIL SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,NY392222,Long,-2.9424287,Lat,54.591314,Elevation,1000,ft,,,,,,,,,,,,
Station no,3602/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,13.31,11.12,10.04,1.72,1.43,5.64,11.43,8.61,,,,,,
February,,,,,,,6.71,3.87,8.35,1.92,6.6,2.2,5.88,3.02,,,,,,
March,,,,,,,3.01,4.95,6.22,7.57,3.64,3.46,2.02,0.89,,,,,,
April,,,,,,,3.38,0.87,3.01,3.25,2.05,5.29,4.45,3.24,,,,,,
May,,,,,,,3.18,4.76,0.97,1.1,4,6.19,5.57,2.68,,,,,,
June,,,,,,,3.28,8.45,4.05,0.96,0.38,1.09,4.94,4.46,,,,,,
July,,,,,,,2.91,7.06,7.36,6.56,1.74,4.55,3.66,,,,,,,
August,,,,,,,3.97,4.61,3.83,3.45,10.08,7.31,9.24,,,,,,,
September,,,,,,,4.07,2.88,1.62,7.15,1.79,6.91,7.13,,,,,,,
October,,,,,,,4.59,17.76,3.78,7.64,6,8.01,9.67,,,,,,,
November,,,,,,,1.47,13.22,10.84,8.83,5.33,1.96,4.21,,,,,,,
December,,,,,,,6.05,6.97,3.74,7.98,4.78,11.22,4.81,,,,,,,
Total,,,,,,,55.93,86.52,63.81,58.13,47.82,63.83,73.01,,,,,,,
