EAGLESHAM ( DUNWAN RES. ) NO 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS554497,Long,-4.303559,Lat,55.719083,Elevation,820,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5276/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.78,5,1.69,1.31,7.04,5.87,8.21,3.45,6.22,3.68,8.66,7.39,4.03,4.7,5.5,3.7,4.9,3.39,2.98,7.22,6.51,1.95,5.59
February,,,,,,,,2.85,7.49,1.99,3.95,1.35,6.78,2.79,10.35,4.15,0.64,6,7.34,6.06,4.57,2.65,2.6,4.5,3.42,1.7,3.46,4.79,3.51,6.44
March,,,,,,,,4.86,3.8,6.02,3.66,2.43,3.51,0.65,4.71,3.89,3.35,5.64,3.26,4.64,4.24,3.96,1.5,4.24,2.6,3.28,5.77,2.15,3.32,2.01
April,,,,,,,,1.02,3,3.48,2.57,2.47,4.11,4,2.26,2.67,8,4.72,6.56,4.8,4.16,3.11,2.41,2.18,3.4,1.43,3.39,2.3,4.17,4.86
May,,,,,,,,5.45,1.03,1.11,4.17,2.68,4.73,4.36,5.58,0.91,3.79,1.2,2.99,1.94,1.94,1.96,2.79,3.67,4.87,3.77,2.56,4.16,1.9,2.35
June,,,,,,,,6.08,2.42,1.61,1.27,2.02,4.84,4.93,5.03,3.94,3.18,7.09,0.95,2.84,2.52,4.24,1.64,5.03,2.44,4.35,3.63,3.63,4.66,3.06
July,,,,,,,,7.01,6.19,3.7,4.44,4.6,2.75,3.75,3.15,4.96,3.74,5.06,2.53,6.68,4.93,3.1,6.12,5.46,2.25,5.37,4.75,5.29,6.63,4.45
August,,,,,,,,3.7,1.59,3.76,6.84,5.81,7.2,5.92,2.07,3.59,0.03,7.55,5.11,7.03,6.32,5.67,3.9,5.77,1.84,5.3,6.04,4.64,1.62,3.57
September,,,,,,,,4.94,2.54,5.32,2.03,7.04,3.87,7.91,6.01,9.77,6.8,9.34,1.94,12.24,4.1,3.43,6.15,6.78,5.56,5.74,4.01,5.14,1.34,3.94
October,,,,,,,,9.49,2.69,4.65,4.47,8.45,10.29,6.98,8.73,0.63,2.91,7.6,6.21,4.48,1.37,4.92,3.69,11.99,4.08,5.42,7.1,4.51,7.54,3.43
November,,,,,,,,7.05,10.97,7.03,3.11,0.97,3.54,9.16,1.01,6.78,8.84,5.09,6.22,4.79,7.68,2.79,11.19,8.17,2.25,2.08,2.73,2.21,7.03,7.1
December,,,,,,,,2.6,3.2,6.04,3.76,6.97,3.41,6.13,3.44,5.7,3.97,6.6,12.24,2.09,8.41,5.4,6.35,9.34,9.22,8.1,6.76,7.17,9.06,8.82
Total,,,,,,,,61.83,49.92,46.4,41.58,51.83,60.9,64.79,55.79,53.21,48.93,74.55,62.74,61.62,54.94,46.73,52.04,72.03,45.32,49.52,57.42,52.5,52.73,55.62
