SOUTHERY (PUMPING STATION),,,,,,,,,,,,
Grid ref,TL613932,Long,0.375512,Lat,52.512823,,,,,,,
Station no,1458/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.35,1.97,2.55,2.15,,
February,,,,,,,1.83,2.62,0.11,1.21,,
March,,,,,,,1.69,0.94,1.84,1.27,,
April,,,,,,,0.29,1.03,1.41,0.38,,
May,,,,,,,1.08,2.86,0.59,0.73,,
June,,,,,,,1.64,3.44,0.77,2.76,,
July,,,,,,,3.64,3.33,2.96,3.02,,
August,,,,,,,2.25,2.82,1.01,3.31,,
September,,,,,,,3.64,2.83,0.03,2.65,,
October,,,,,,,1.29,2.21,1.69,3.73,,
November,,,,,,,1.14,1.31,1.06,3.40,,
December,,,,,,,1.61,2.77,3.38,2.91,,
Total,,,,,,,21.45,28.13,17.38,27.52,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,21.45,28.13,17.40,27.52,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.02,0.00,,
