PETERBOROUGH-PARK-CRESCENT,,,,,,,,,,,,,,,,,,,,
Grid ref,TL198998,Long,-0.23328807,Lat,52.58282,Elevation,30,ft,,,,,,,,,,,,
Station no,1138/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.11,2.84,2.84,2.3,4.19,1.85,3,2.63,3.48,1.74,2.13,1.37,2.03,3.39,,
February,,,,,1.37,2.24,2.79,0.89,0.33,2.26,1.97,1.22,0.3,1.29,1.55,1.7,2.25,0.37,,
March,,,,,0.43,1.09,3.18,0.19,1.57,2.02,3.53,1.43,0.7,0.16,0.57,0.99,4.17,0.54,,
April,,,,,2.53,1.98,2.45,0.09,2.26,1.21,0.97,0.52,0.77,2.06,0.84,0.7,1.83,1.12,,
May,,,,,0.76,0.47,3.72,1.91,0.77,1.61,2.29,2.27,1.88,0.91,2.44,1.58,0.64,3.41,,
June,,,,,3.03,4.84,1.64,1.05,1.91,0.64,0.92,0.56,1.57,1.66,1.51,2.16,3.31,3.69,,
July,,,,,0.41,4.67,2.37,1.63,2.23,2.2,3.59,2.75,0.81,1.52,1.82,1.69,1.77,0.95,,
August,,,,,1.36,0.51,0.83,2.71,2.23,0.21,3.99,1.4,1.83,2,3.05,2.97,0.03,2.6,,
September,,,,,3.13,2.43,0.93,1.62,1.15,0.31,0.53,1.15,1.13,3.19,1.53,2.59,1.49,1.78,,
October,,,,,2.99,1.19,2.36,1.86,3.79,1.86,2.29,1.87,0.92,2.11,1.73,1.71,0.17,2.94,,
November,,,,,3.21,1.8,1.48,1.74,2.95,5.96,3.04,2.62,1.1,2.41,0.43,4.36,1.07,1.32,,
December,,,,2.97,2.52,1.65,2.45,3.46,1.63,1.32,0.51,1.54,0.77,0.99,2.08,2.32,1.71,2.09,,
Total,,,,,22.85,25.71,27.04,19.45,25.01,21.45,26.63,19.96,15.26,20.04,19.68,24.14,20.47,24.2,,
