HUISH-EPISCOPI-COUNTY-SEC-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST428268,Long,-2.81634,Lat,51.03795,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,3.13,2.86,5.61,1.75,2.54,2.26,2.75,4.05,,0.5,2.17,2.1,0.59,1.46,2.92,2.57,1.85,1.76,2.97,3.01
February,,,,,,,,,,,2.32,0.36,1.07,0.51,1.59,1.63,1.15,1.23,,5.16,3.56,0.66,1.12,2.4,2.26,0.35,2.86,2.65,0.27,2.34
March,,,,,,,,,,,3.22,2.02,0.9,0.2,0.66,0.87,5.01,0.79,,0.91,2.78,2.23,0.37,3.7,0.94,0.51,1.38,0.41,2.98,1.74
April,,,,,,,,,,,2.14,1.23,0.63,1.35,0.58,3.24,2,1.75,,1.72,2.91,1.85,2.85,0.19,0.96,1.14,0.1,0.6,2.28,2.35
May,,,,,,,,,,2.51,1.45,5.23,1.93,1.86,2.95,5.45,2.45,3.64,,1.62,2.61,3.89,1.84,1.77,3.51,0.35,1.68,1.8,0.85,1.12
June,,,,,,,,,,0.83,1.92,0.4,1.64,1.75,3.09,2.35,1.51,1.58,,1.77,1.24,2.27,2.67,2.62,2.31,1.59,3.1,3.29,0.6,0.9
July,,,,,,,,,,2.25,2.12,1.43,3.1,2.25,1.88,1.27,1.9,2.12,,3.99,1.96,0.39,2.93,2.37,0.85,1.92,2.29,2.04,1.29,4.99
August,,,,,,,,,,0.05,2.88,5.17,2.66,2.67,2.2,4.92,1.18,5.13,,3.6,3.43,3.79,2.76,3.86,1.06,3.72,2.35,2.8,0.81,4.39
September,,,,,,,,,,1.25,1.57,2.39,2.97,1.62,2.18,3.52,1.32,1.44,,3.64,2.98,3.19,1.79,2.4,1.02,3.74,2.53,4.04,0.08,3.23
October,,,,,,,,,,3.61,0.94,2.45,3.29,4.41,3.15,1.35,0.7,2.85,,1.74,0.66,3.43,2.6,1.8,1.34,1.45,1.87,1.78,3.26,8.42
November,,,,,,,,,,6.15,1.95,1.24,2.54,4.86,1.17,4.62,1.8,1.38,,5.3,6.6,3.96,1.38,5.09,3.8,0.63,1.55,3.24,4.24,2.49
December,,,,,,,,,,2.7,1.55,3.49,2.27,2.83,4.14,3.06,2.3,4.32,,1.77,2.31,2.45,0.68,2.65,4.8,2.2,2.43,3.5,5.34,2.76
Total,,,,,,,,,,,25.19,28.27,28.61,26.06,26.13,34.54,24.07,30.28,,31.72,33.21,30.21,21.58,30.31,25.77,20.17,23.99,27.91,24.97,37.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Known as Langport County School until 1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Apr 29 Gauge moved 750yds SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Huish Episcopi SRC_ID 9170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
