HUISH-EPISCOPI-COUNTY-SEC-SCHOOL-(LANGPORT-COUNCIL-SCHOOL),,,,,,,,,,,,,,,,,,,,,
Grid ref,ST421270,Long,-2.82604,Lat,51.03982,Elevation,52,ft,,,,,,,,,,,,,
Station no,2074,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.35,2.72,3.44,3.51,1.18,4.03,2.01,2.23,2.33,2.26,0.58,4.06,5.03,2.61,5.27,2.39
February,,,,,,3.34,1.72,2.95,2.03,1.13,0.48,1.69,0.04,4.04,0.12,2.52,2.51,4.82,0.9,1.29,2.42
March,,,,,,0.49,0.48,3.02,2.59,0.3,1.65,1.17,1.99,2.52,2.38,0.71,3.34,4.52,0.16,0.99,2.27
April,,,,,,2.12,2.31,1.29,1.43,0.82,2.56,2.09,1.92,1.41,2.64,3.62,2.05,2.53,0.08,2.74,
May,,,,,,4.01,1.7,1.29,1.25,1.96,1.46,2.73,4.92,1.57,1.16,1.1,0.77,2.4,1.64,0.64,
June,,,,,,0.02,3.34,2.27,2.87,1.75,0.36,2.49,1.29,1.4,0.76,2.81,3.85,0.87,1.27,2.65,
July,,,,,,2.62,3.68,2.55,2,1.33,1.61,3.77,3.01,2.82,0.92,0.49,5.55,4.38,3.72,4.92,
August,,,,,,3.99,1.65,2.88,1.61,2.43,2.93,5.11,0.82,0.76,2.17,2.06,0.17,1.41,2.07,3.51,
September,,,,,,3.16,1.46,5.31,1.47,0.38,3.26,1.66,4,2.17,2.01,3.32,2.86,3.71,2.16,1.11,
October,,,,,,2.29,3.46,2.23,6.12,4.25,2.57,0.49,5.71,2.75,2.05,4.11,1.5,3.56,2.47,3.24,
November,,,,,,2.1,6.26,2.55,2.87,7.53,3.87,4.94,2.37,0.62,1.37,6.04,2.63,2.16,4.13,5.24,
December,,,,,,2.96,0.29,2.93,2.18,6.44,3.35,1.76,1.98,0.79,6.1,4.6,2.56,3.06,4.3,1.95,
Total,,,,,,29.45,29.07,32.71,29.93,29.5,28.13,29.91,30.28,23.18,23.94,31.96,31.85,38.45,25.51,33.55,
,,,,,,,,,,,,,,,,,,,,,
1940 Apr 29 Gauge moved 750yds SE,,,,,,,,,,,,,,,,,,,,,
