MEPPERSHALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL141363,Long,-0.33886629,Lat,52.013408,Elevation,235,ft,,,,,,,,,,,,,
Station no,1169,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.4,1.1,2.28,1.35,2,2.05,2.9,1.15,2,1.42,0.62,0.95,1.09,,,,,,
February,,,1.35,2.1,0.6,2.55,2.65,2.8,1,0.55,0.55,2.45,0.14,1.75,0.34,,,,,,
March,,,0.95,2.15,0.5,1.07,0.14,2.1,1.15,0.1,1.55,0.1,1.69,1.77,1.7,,,,,,
April,,,2.7,1.5,2.63,1.7,3.3,1.25,,1.45,1.58,2.5,1.7,0.83,1.71,,,,,,
May,,,0.95,1.03,5.75,1.95,1.35,0.8,1,1.13,1.5,2.19,3.75,1.6,0.63,,,,,,
June,,,0.89,0.55,2.5,0.04,2.73,3.03,1.65,0.82,0.75,2.15,0.55,1.38,1.1,,,,,,
July,,,3.85,3.52,3.4,2.03,2.35,2.15,,1.1,2.04,5.55,2.2,1.5,1.51,,,,,,
August,,,1.9,2.51,2.65,3.12,1.12,2.6,3.15,0.83,2.2,4.24,4.04,0.86,1.8,,,,,,
September,,,1.98,2.2,2.3,2.65,1.65,4.25,0.75,0.05,2.75,2.28,2.8,1.75,1.45,,,,,,
October,,,0.45,3.6,3.7,3.4,2.35,1.22,2.9,3,1.15,0.6,4.25,1.35,1.56,,,,,,
November,,,1.35,0.85,2.55,1.53,3.3,2.05,1.6,5.45,3.06,2.1,1.42,1.4,1.9,,,,,,
December,,,1.56,1.95,2.57,1.46,0.33,2.25,2.15,3.65,2.2,0.73,0.62,0.36,4,,,,,,
Total,,,20.33,23.06,31.43,22.85,23.27,26.55,,19.28,21.33,26.31,23.78,15.5,18.79,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1928 Apr Jul estimated,,,,,,,,,,,,,,,,,,,,,
