OKEHAMPTON-SOUTH-ZEAL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX653932,Long,-3.90874,Lat,50.72336,Elevation,750,ft,,,,,,,,,,,,,
Station no,1831,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,6.62,7.01,8.43,8.48,1.54,8.27,4.98,9.38,4.16,5.84,1.8,,,,,
February,,,,,,8.15,3.83,4.88,5.53,2.54,2.16,4.38,0.03,4.79,0.12,,,,,,
March,,,,,,1.01,1.23,6.2,5.57,0.15,4.24,2.15,3.43,4.16,3.76,,,,,,
April,,,,,,3.63,2.92,2.66,2.24,0.84,4.66,4.02,3.55,0.93,3.98,,,,,,
May,,,,,,5.54,2.48,0.73,1.28,3.45,2.19,2.98,3.48,2.91,2.29,,,,,,
June,,,,,,0,3.69,3.11,2.17,2.04,0.4,3.25,1.96,1.74,2.17,,,,,,
July,,,,,,5.16,1.99,5.4,1.85,1.55,2.87,5.99,3.2,3.01,0.56,,,,,,
August,,,,,,2.75,2.2,4.25,1.98,2.7,4.99,5.9,1.81,1.62,4.87,,,,,,
September,,,,,,4.62,2.48,7.44,1.68,1.4,6.19,1.53,7.11,1.45,3.1,,,,,,
October,,,,,,5.47,4.93,2.78,5.69,8.83,7.57,1.57,11.01,4.93,4.16,,,,,,
November,,,,,,4.1,10.54,4.72,7.09,12.67,8.67,9.32,3.49,1.58,2.83,,,,,,
December,,,,,,7.79,0.92,5.38,5.06,14.05,5.36,2.84,4.09,1.43,13.42,,,,,,
Total,,,,,,54.84,44.22,55.98,48.62,51.76,57.57,48.91,52.54,32.71,47.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Location unknown Degree Min Sec given on sheet references this area though a little low,,,,,,,,,,,,,,,,,,,,,
Distances to church and station match as does elevation,,,,,,,,,,,,,,,,,,,,,
1928 Jan Total amended in red which are probably corrections of daily addition,,,,,,,,,,,,,,,,,,,,,
1933 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1935 Mar Record terminated,,,,,,,,,,,,,,,,,,,,,
