TORQUAY-ABBEY-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX912641,Long,-3.5336,Lat,50.46714,Elevation,125,ft,,,,,,,,,,,,,
Station no,1718,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,6.35,3.82,4.74,1.24,4.39,5.88,5.69,3.95,5.34,2.6,6.93,3.48,5.31,3.18,3.68,0.51,,,,,
February,0.68,0.27,3.37,7.79,1.5,4.63,2.84,3.47,2.75,2.99,1.58,1.93,0.01,4.62,0.18,4.38,,,,,
March,3.75,2.19,3.63,2.16,2.13,0.35,0.88,3.77,3.51,0.23,2.8,2.61,2.78,4.14,3.45,1.25,,,,,
April,4.06,0.82,4.48,3.33,3.23,2.75,2.49,2.14,2.41,0.86,3.09,3.61,2.58,1.79,3.44,3.94,,,,,
May,1.75,2.38,0.45,2.15,5.16,3.58,0.81,0.44,1.23,3,1.58,2.76,4.38,1.51,1.24,2.61,,,,,
June,1.67,0.11,0.56,0.25,2.26,0.01,3.63,2.01,2.08,2.37,0.23,3.67,3.28,1.19,1.68,4.54,,,,,
July,3.65,0.48,3.96,0.77,4.47,2.44,0.63,2.89,1.98,1.5,1.92,4.13,1.48,2.15,0.63,0.35,,,,,
August,1.35,3.26,3.4,2.15,2.2,2.38,0.99,3.73,1.95,1.96,4.52,3.53,1.91,1.02,2.48,2.45,,,,,
September,1.68,1.12,3.13,2.79,4.73,3.48,1.08,4.66,2.59,0.32,5.06,1.73,5.41,2.94,2.85,4.46,,,,,
October,2.51,0.97,1.68,5.86,6.06,3.96,3.57,2.69,5.69,5.17,3.59,0.46,8.02,2.24,2.3,3.71,,,,,
November,1.9,5.04,2.89,2.46,3.66,4.23,9.47,3.11,5.31,13.61,6.71,7.04,2.29,1.27,2.5,6.45,,,,,
December,6.12,1.62,6.56,2.61,6.16,5.48,0.38,4.53,3.94,10.5,4.17,1.97,3.47,2.18,10.91,5.16,,,,,
Total,35.47,22.08,38.85,33.56,45.95,39.17,32.46,37.39,38.78,45.11,42.18,36.92,40.92,28.23,35.34,39.81,,,,,
,,,,,,,,,,,,,,,,,,,,,
1920 Jan Station started,,,,,,,,,,,,,,,,,,,,,
1928 Gauge moved 20ft E to more open position after inspection,,,,,,,,,,,,,,,,,,,,,
