ACTON-THE-CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ205818,Long,-0.26454502,Lat,51.522271,Elevation,96,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,846/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.8,4.15,3.79,2.89,4.69,1.78,1.89,2.1,,,,,,,,0.89,,1.67,,,,,1.23,2.14,2.4,1.75
February,,,,,2.38,1.6,3.96,0.39,0.72,1.48,1.94,0.54,,,,,,,,3.42,,0.78,,,,,2.4,2.32,0.07,2.26
March,,,,,0.38,1.01,2.76,0.3,1.27,3.05,2.82,1.34,,,,,,,,0.73,,2.16,,,,,0.93,1.03,1.69,1.41
April,,,,,3.03,1.26,2.27,0.09,2.51,1.72,1.59,0.88,,,,,,,,2.43,,1.45,,,,,0.28,1.04,2.4,0.57
May,,,,,0.94,0.51,2.51,1.58,1.17,1.26,1.65,2.85,,,,,,,,,,1.56,,,,,1.15,2.17,1.62,1.68
June,,,,,3.64,3.53,1.83,0.34,1.48,0.8,1.87,0.5,,,,,,,,,,1.58,,,,,0.72,4.44,0.72,1.56
July,,,,,0.88,2.75,0.69,0.85,2.35,2.53,4.64,1.55,,,,,,,1.12,,,0.47,,,,,3.49,2.38,1.59,3.13
August,,,,,1.71,0.34,3.19,3.55,3.91,0.05,5.6,1.63,,,,,,,1.14,,,3.28,,,,,2.38,2.54,1.42,2.16
September,,,,,2.81,3.41,1.64,2.42,1.2,1.02,0.36,0.96,,,,,,,0.39,,,2.06,,,,,2.2,3.37,0.03,3.81
October,,,,,2.42,1.64,2.53,2.6,4.74,2.52,0.77,3.4,,,,,,,5.1,,,2.42,,,,,1.94,2.34,2.1,4.92
November,,,,,4.45,3.19,1.39,2.75,4.68,6.43,2.32,1.81,,,,,,,2.36,,5.4,,,,,,2.42,2.01,2.17,3.9
December,,,,,2.63,1.58,3.14,3.61,0.86,1.24,1.94,2.42,,,,,,,1.62,,1.49,,,,,,1.9,3.08,3.45,2.38
Total,,,,,26.07,24.97,29.7,21.37,29.58,23.88,27.39,19.98,,,,,,,,,,,,,,,21.04,28.86,19.66,29.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 5587 ACTON: PARK ROYAL CEMETERY Start 1935 end 1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Acton Cemetery. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
