MULL (WHITE HOUSE OF AROS),,,,,,,,,,
Grid ref,NM564455,Long,-5.963807,Lat,56.538168,Elevation,20,ft,,
Station no,5452/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,11,8.3,6.85,11.75,4.1,6.3,10.95,8.05,,
February,5.8,3.05,5.15,5.85,2.55,2.9,4.65,4.55,,
March,4.05,5.6,2.3,6.35,5.6,3.55,5.75,2.1,,
April,4.5,3.55,6.15,2.55,5.45,2.95,2.35,3.55,,
May,0.85,2.2,3.5,4.05,3.45,4.75,1.7,3.45,,
June,1.6,4.6,1.55,5.7,4.55,3.85,4.6,2.1,,
July,6.85,4.5,6,4.45,0.9,6.45,6.05,2.45,,
August,4.85,5.2,5.45,4.6,1.7,5.8,6.5,4.85,,
September,6.35,7.3,8.95,11.85,8.75,5.45,5.1,4.25,,
October,3.1,8.05,9.55,13.9,9,7.45,9,8.05,,
November,9.95,4.3,16.45,12.3,3.75,6.8,4.05,2.8,,
December,14.3,8.55,8.8,14.05,9.05,10.6,8.75,5.9,,
Total,73.2,65.2,80.7,97.4,58.85,66.85,69.45,52.1,,
,,,,,,,,,,
Station no,5452/3,,,,,,,,,
Midas,14162,,,,,,,,,
hyd Stn,718585,,,,,,,,,
Midas start date may be wrong,,,,,,,,,,
see1950s  Location sheet,,,,,,,,,,
