TENTERDEN-ASHBOURNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ865329,Long,0.66032,Lat,51.065135,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,0.85,6.39,1.42,2.9,0.23,1.05,1.08,2.22,2.48,2.71,4.88,1.51,0.85,1.29,2.3,2.75,,2.22,3,2.52,0.73,2.53,0.64,2.36,3.65,1.01,0.62,2.3,3.74,1.25,3.46,0.98,1.84,0.82
February,,,,,,,2.31,2.24,1.68,3.46,1.37,1.85,1.25,3.62,1.8,3.39,0.75,0.65,1.83,2.17,1.16,0.04,,4.07,1.75,0.23,0.38,2.25,1.28,2.47,5.69,1.86,1.35,1.19,3.38,0.73,2.1,1.36,1.1,0.7
March,,,,,,,2.68,2.96,1.27,0.83,0.58,2.22,1.35,1.17,1.52,1.87,1.28,1.78,3.84,1.69,2.32,2.01,,0.56,1.46,2.06,2.87,4.49,2.19,0.87,1.41,1.89,1.5,2.6,1.45,3.61,1.88,0.8,2.29,4.25
April,,,,,,,2.02,2.79,3.82,3.2,2.56,0.93,2.88,1.75,1.47,2.55,1.68,1.58,1.46,2.25,2.94,0.66,,0.04,2.24,1.58,0.56,1.73,1.28,2.97,1.05,2.09,0.78,2.25,0.99,2.16,1.25,3.29,2.37,1.77
May,,,,,,,1.07,2.24,5.04,3.43,0.21,0.96,1.57,2.5,0.42,3.04,3.2,1.72,1.36,1.36,1.66,3.28,,0.85,2.03,0.1,0.2,1.34,3.69,1.89,0.96,1.03,1.75,2.83,1.98,1.43,2.14,2.27,1.54,1.24
June,,,,,,,1.4,1.48,1.75,3.9,4.2,3.03,2.47,2.35,1.02,1.27,0.53,0.64,2.37,0.7,2.45,1.75,,0.94,1.56,0.17,3.76,1.96,2.31,1.45,2.1,1.72,1.78,3.67,1.54,5.09,1.25,1.7,1.46,2.48
July,,,,,,,-999,3.08,1.18,2.34,3.4,1.84,2.77,1.21,2.36,0.11,2.1,0.62,5.9,2.39,2.37,3.05,,2.98,5.79,3.35,0.97,0.44,0.27,1.9,1.54,1.99,1.18,3.5,1.82,0.81,0.54,1.45,2.69,2.75
August,,,,,,,-999,2.5,4.93,3.56,1.32,3.7,1.94,0.97,1.13,0.57,1.3,3.45,1.41,3.02,3.67,4.79,,1.45,2.16,2.31,2.29,3.43,1.76,1.25,1.96,2.22,3.92,3.92,1.11,2.8,0.61,1.7,4.18,2.75
September,,,,,,,2.88,1.21,1.54,2.89,3.4,3.1,2.96,2.35,4.06,3.95,0.98,2.75,0.9,2.29,1.34,0.62,,3.43,3,0.59,5.37,2.5,0.77,2.59,0.96,0.73,1.6,2.81,1.15,2.88,1.68,0.51,1.56,3.05
October,,,,,,,1.86,2.89,3.53,0.8,6.5,3.51,5.68,2.02,1.63,4.1,3.43,1.51,2.38,6.81,1.14,5.4,,4.12,4.15,3.65,5.64,0.22,2.59,2.28,2.11,2.54,2.11,4.56,1.7,2.12,4.36,5.16,1.54,6.15
November,,,,,,,,5.66,4.32,0.8,4.49,3.95,3.08,3.93,1.27,2.45,3.71,4.32,4.59,1.09,2.95,2.35,,2.75,3.54,4.82,1.35,1.13,2.32,3.36,2.69,0.65,2.25,2.33,1.92,4.84,6.04,2.69,1.1,0.97
December,,,,,,,5.95,2.55,2.28,0.95,3.4,3.74,2.45,1.45,3.74,1.03,5.01,2.47,1.69,1.28,0.72,3.54,,2.94,2.13,2.59,4.06,2.9,2.29,2.19,3.78,3.62,1.99,1.76,3.08,0.78,1.97,2.9,3.36,4.81
Total,,,,,,,,35.99,32.76,29.06,31.66,29.88,29.48,25.54,22.9,27.04,28.85,23,28.58,26.34,25.02,30.24,,26.35,32.81,23.97,28.18,24.92,21.39,25.58,27.9,21.35,20.83,33.72,23.86,28.5,27.28,24.81,25.03,31.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1876 Jul-Aug -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
