DOWNHAM-GRANGE-CRIMPLESHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,TF670032,Long,0.46445536,Lat,52.600923,Elevation,110,ft,,,,,,,,,,,,
Station no,RR8011,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,2.35,2.64,1.59,0.74,0.62,2.27,2.2,,,,,,,,
February,,,,,,2.21,0.36,0.69,1.96,1.8,0.62,0.06,,,,,,,,
March,,,,,,0.95,1.68,1.49,2.53,0.89,2.54,1.16,,,,,,,,
April,,,,,,1.51,1.61,0.85,1.48,2.09,0.29,0.64,,,,,,,,
May,,,,,,2.07,2.55,1.7,0.87,3.32,2.09,3.5,,,,,,,,
June,,,,,,0.99,1.26,0.31,1.36,1.5,3.17,1.38,,,,,,,,
July,,,,,,1.03,5.63,0.57,4.36,2.62,3.71,3.81,,,,,,,,
August,,,,,,1.32,2.71,2.07,3.29,2.76,2.47,3.54,,,,,,,,
September,,,,,,3.93,1.46,1.89,1.4,2.74,0.52,1.09,,,,,,,,
October,,,,,,4.8,4.89,2.84,0.68,2.61,1.45,3.77,,,,,,,,
November,,,,,1.92,3.32,2.21,1.9,2.56,0.95,2.7,1.5,,,,,,,,
December,,,,,2.23,1.2,3.46,1.01,1.21,1.44,0.47,3.09,,,,,,,,
Total,,,,,,25.68,30.46,16.91,22.44,23.34,22.3,25.74,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1892 Gauge moved,,,,,,,,,,,,,,,,,,,,
