"ACHNASHELLACH",,,,,,,,,,,,
Grid ref,NH040491,Long,-5.271814,Lat,57.489611,,,,,,,
Station no,5792,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.25,8.67,8.64,7.38,5.26,10.50,13.73,11.83,6.71,5.96,,
February,5.55,7.44,7.68,5.21,5.17,6.76,5.91,7.26,4.53,7.26,,
March,4.88,5.06,3.63,5.11,2.31,3.54,7.54,3.36,5.47,1.34,,
April,7.96,4.13,5.79,4.10,5.17,4.74,3.18,5.48,7.43,6.75,,
May,0.83,3.68,4.84,4.61,5.97,7.40,2.15,8.20,3.32,3.02,,
June,3.12,5.28,1.43,5.70,4.78,3.05,5.02,2.64,6.70,4.47,,
July,7.31,5.71,7.97,5.21,1.71,6.87,5.19,2.61,11.16,4.65,,
August,7.02,8.16,6.67,4.31,2.89,6.76,7.80,4.17,7.09,-999.00,,
September,6.43,9.34,8.05,11.65,10.72,6.01,8.72,3.86,4.93,4.17,,
October,4.70,9.88,6.57,13.39,12.81,10.14,12.49,12.72,11.51,2.60,,
November,7.44,7.93,15.01,9.30,3.52,11.74,6.12,3.06,9.41,5.65,,
December,14.64,9.39,8.18,15.47,13.22,16.26,14.09,7.98,9.41,11.82,,
Total,79.13,84.67,84.46,91.44,73.53,93.77,91.94,73.17,87.67,64.13,,
Calc annual,79.13,84.67,84.46,91.44,73.53,93.77,91.94,73.17,87.67,57.69,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.44,,
