ACHNASHELLACH,,,,,,,,,,
Grid ref,NH040491,Long,-5.271814,Lat,57.489611,Elevation,220,ft,,
Station no,5792,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.26,10.5,13.73,11.83,6.71,5.96
February,,,,,5.17,6.76,5.91,7.26,4.53,7.26
March,,,,,2.31,3.54,7.54,3.36,5.47,1.34
April,,,,,5.17,4.74,3.18,5.48,7.43,6.75
May,,,,,5.97,7.4,2.15,8.2,3.32,3.02
June,,,,,4.78,3.05,5.02,2.64,6.7,4.47
July,,,,,1.71,6.87,5.19,2.61,11.16,4.65
August,,,,,2.89,6.76,7.8,4.17,7.09,6.44
September,,,,,10.72,6.01,8.72,3.86,4.93,4.17
October,,,,,12.81,10.14,12.49,12.72,11.51,2.6
November,,,,,3.52,11.74,6.12,3.06,9.41,5.65
December,,,,,13.22,16.26,14.09,7.98,9.41,11.82
Total,,,,,73.53,93.77,91.94,73.17,87.67,64.13
