COWDENBEATH (SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT170917,Long,-3.336226,Lat,56.110818,Elevation,390,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5476/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.91,2.68,1.09,4.92,3.65,5.25,4.98,1.73,3.08,3.91,4.21,3.05,3.43,3.04,2.89,6.31,2.87,2.08,4.14,1.84,0.78,3.24,2.17,3.23,4.23,1.6,0.93,4.13
February,,,3.3,0.34,2.02,3.94,4.35,0.89,3.72,1.39,4.3,1.46,1.78,0.86,4.18,2.25,3.22,3.62,1.82,2.75,3.02,0.63,1.07,2.4,2.08,1.81,3.86,3.06,1,2.14
March,,,1.78,4.27,1.49,2.84,2.86,1.16,3.24,3.57,3.11,1.69,1.68,0.34,1.69,2.46,4.35,1.17,1.27,2.56,3.23,3.01,0.75,2.94,1.91,1.64,3,3.72,1.24,1.71
April,,,1.43,5.86,4.39,1.51,1.93,0.32,2.08,2.93,1.82,2.64,0.99,2.1,1.77,0.64,2.96,2.08,2.24,3.01,2.31,1.29,2.32,1.7,1.21,0.92,1.36,1.92,2.71,1.67
May,,,2.03,2.58,0.77,0.7,2.2,5.36,1.27,0.97,4.19,3.02,4.27,2.72,4.19,1.68,3.49,2.38,1.95,1.99,2.9,1.27,2.3,4.88,2.69,1.24,1.95,2.68,0.74,2.89
June,,,2.02,2.78,3.66,1.71,2,4.53,1.54,0.79,0.76,1.16,2.95,2.74,3.38,2.45,3.67,4.84,1.3,2.17,2.74,2.71,1.39,2.78,1.06,2.91,1.92,3.79,3.03,1.97
July,,,4.97,4.04,1.26,4.14,5.79,4.11,4.8,6.5,4.43,2.51,2.09,4.18,3.24,3.61,2.02,3.67,2.82,4.32,4.84,2.79,5.08,2.26,1.26,5.12,5.23,6.29,4.7,4.03
August,,,0.92,4.03,3.07,2.04,4.88,1.61,1,0.88,3.79,2.63,5.5,3.48,2.09,4.12,0.14,8.27,3.66,3.75,3.7,4.84,1.95,3.71,0.87,6.44,5.24,3.66,0.75,4.57
September,,,1.91,2.64,5.02,3.63,1.82,3.8,2.08,2.39,0.95,3.25,2.86,3.31,4.35,4.66,2.69,3.35,2.27,6.21,1.64,2.12,4.27,4.39,1.79,3.75,1.84,3.34,0.87,1.88
October,,,3.02,4.11,7.04,2.44,3.8,5.97,2.7,4.5,3.67,2.83,3.86,3.41,5.76,0.36,2.02,3.41,4.71,2.74,0.52,2.07,1.39,8.63,2.4,1.56,2.66,2.9,2.15,6.05
November,,,1.75,1.01,4.27,3,0.37,5.42,5.48,4.12,2.65,0.54,1.23,7.14,0.83,6.24,3.04,2.43,3.19,3.95,5.14,2.13,5.36,4.56,1.44,0.57,1.95,1.44,6.52,4.11
December,,,1.34,4.69,2.05,3.1,2.94,2.61,1.53,2.04,1.4,2.2,1.74,2.77,3.04,2.61,1.9,3.74,4.65,1.89,3.25,2.55,3.52,4.28,6.12,3.23,4.64,7.2,4.33,3.59
Total,,,27.38,39.03,36.13,33.97,36.59,41.03,34.42,31.81,34.15,27.84,33.16,36.1,37.95,34.12,32.39,45.27,32.75,37.42,37.43,27.25,30.18,45.77,25,32.42,37.88,41.6,28.97,38.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5476/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,887778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
