"COWDENBEATH (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,NT170917,Long,-3.336226,Lat,56.110818,,,,,,,
Station no,5476/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.14,1.84,0.78,3.24,2.17,3.23,4.23,1.60,0.93,4.13,,
February,3.02,0.63,1.07,2.40,2.08,1.81,3.86,3.06,1.00,2.14,,
March,3.23,3.01,0.75,2.94,1.91,1.64,3.00,3.72,1.24,1.71,,
April,2.31,1.29,2.32,1.70,1.21,0.92,1.36,1.92,2.71,1.67,,
May,2.90,1.27,2.30,4.88,2.69,1.24,1.95,2.68,0.74,2.89,,
June,2.74,2.71,1.39,2.78,1.06,2.91,1.92,3.79,3.03,1.97,,
July,4.84,2.79,5.08,2.26,1.26,5.12,5.23,6.29,4.70,4.03,,
August,3.70,4.84,1.95,3.71,0.87,6.44,5.24,3.66,0.75,4.57,,
September,1.64,2.12,4.27,4.39,1.79,3.75,1.84,3.34,0.87,1.88,,
October,0.52,2.07,1.39,8.63,2.40,1.56,2.66,2.90,2.15,6.05,,
November,5.14,2.13,5.36,4.56,1.44,0.57,1.95,1.44,6.52,4.11,,
December,3.25,2.55,3.52,4.28,6.12,3.23,4.64,7.20,4.33,3.59,,
Total,37.43,27.25,30.18,45.77,25.00,32.42,37.88,41.60,28.97,38.74,,
Calc annual,37.43,27.25,30.18,45.77,25.00,32.42,37.88,41.60,28.97,38.74,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
