ACHNAHARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN527092,Long,-4.379094,Lat,56.252404,Elevation,474,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.15,11.8,2.2,7.4,7.1,8.4,11.15,7.95,8.45,7.45,7.4,13.1,8.9,20.3,2.45,11.9,6.1,11.95,9.7,12.1,3.3,7,11.2,12.8,5.75,1.8,1.7,6.8,10.4,8.95,3.2,10.5,9,10.2,7.7,5.65,7.75,5.7,3.05,6.35,4.6,4.75,11,8.95,3.8,5.5
February,,,,,,12.1,6.9,1.3,9.7,1.45,10.9,1.7,7.55,8.65,1.35,6.4,9.2,4.45,8.1,3.4,0.85,5.4,0.1,5.4,1.4,9.6,4.5,6.7,7.7,9,3.4,8.4,2.65,7.4,2.55,12.3,5.3,0.75,8.8,7.5,8.6,4.35,2.15,3.15,6.8,3.15,2.25,6.15,3.3,3.3,7.5
March,,,,,,3.85,2.3,2.6,2.4,5.05,6.5,11.3,3.6,4.3,0.8,2.7,5.3,5.95,9.8,1.3,4.65,1.5,3.25,4.7,4.5,3.1,4.8,2.7,7.7,5.45,6.15,2.4,4.65,3.7,0.85,7.05,4.7,5.75,6.35,3,4.65,4.65,6.45,2.4,5.05,3.1,3.9,7.15,2.7,5.6,3.4
April,,,,,,4.55,4.8,1.65,1.45,3.5,2.65,1.5,5,5.4,3.9,7.5,3.2,4.65,4.5,1.2,1.75,3.6,6.1,3.15,6.35,4.4,2.1,3.2,0.7,3.25,4.4,3,4.9,5.7,3.8,3.4,1.75,11.45,4.5,6.85,5.05,5.3,3.4,3.9,2.6,3.95,2.15,3.15,3,5.6,7.8
May,,,,,,1.3,5.6,5.5,3.5,1.6,8,5.05,5.35,2.1,6.95,9.45,4.6,3.4,1.6,5.15,3.55,7.85,4.1,2.85,3.7,0.4,2,3.3,5.4,1.35,1.45,2.85,4.9,4.3,5,5.25,2,5.7,2.8,3.35,2.7,1.8,2.4,3.8,5.35,4.5,4.95,3.35,5,1.5,5.8
June,,,,,,1.7,3,3.4,2.05,3.5,2.4,0.55,2.7,1.9,3.1,0.9,4.45,6.4,5.9,3.8,3.85,6.8,2.05,2.1,3.6,6.8,2.4,4.3,8.1,3.05,0.85,0.85,2.5,6.45,4.8,5,6,5.5,5.65,1.9,1.85,3.9,3.7,2.85,3.8,3.6,4.3,2.25,3.25,3.4,2.8
July,,,,,,5.3,4.65,1.7,3.85,2.15,5.3,4.9,4.55,5.4,6.6,2.6,2.8,5.7,4.7,4.75,4,5.85,4.9,4,3.8,2,6,5.6,5.7,8.3,4.05,3.9,4.5,3.25,3.8,4.3,4.3,5.3,5.8,2.7,8.65,3.2,3.4,6.4,3.65,1.05,6.1,5.05,4.75,6.9,5.5
August,,,,,4.75,3.8,4.2,8.5,3.9,3.9,6.4,8,4,8.75,5.75,5.1,5.4,7.5,8.15,7.6,9.15,1.95,3.2,4.35,5.65,3.4,4.1,5.4,4.35,1.7,2.65,5.4,8.45,8.55,4.35,2.6,6.2,0,9.1,6.2,11,6.45,5.45,3.4,5.3,1.3,7.15,6.05,7,2.6,5.8
September,,,,,3.35,2.1,1.3,4.8,8.2,5.25,3.45,2.95,3.5,9.8,8.05,4.2,4.7,7.2,5.6,2,6.35,2.6,3.45,1.5,10,8.6,4.8,5.5,6.5,4.25,4.3,2.75,9.3,5.3,5.25,8.5,9.5,7.3,9.75,2.85,11,5.6,2.8,7.9,8.8,5.4,7.75,4.6,6.2,1.9,4.2
October,,,,,2.65,6.2,11,11,8.6,1.25,4.15,5.95,3.15,9.2,5.35,6.65,8.7,10.05,10.75,9.25,10.3,6.6,8.95,5.3,11.3,12.4,8,3.6,13.7,4.4,10.1,6.55,8.8,15.45,7.8,8.05,1,4.45,10.85,10.7,7.2,2.05,6,4.9,11.3,5.7,4.55,6.7,6,7.5,6.4
November,,,,,8.75,3.8,7.7,9.9,7.95,6.1,8.6,5.3,5.65,4.6,5.25,1.4,11.55,7.6,9.45,10.2,8.25,13.2,6.9,3.7,1.8,6.8,4,1,13.9,12.35,11.75,6.55,1.8,4.3,10.5,0.7,11.7,10.1,5.7,6.7,4.25,11,2.2,10.2,12.6,3.65,2.6,2.55,2.1,10.5,10
December,,,,,10.9,9.45,7.8,3.3,7.2,12.4,6.05,10.05,7.25,4.5,11.9,5.1,3.45,2.3,8.25,15.8,8.15,7.45,14.25,1.95,15.3,4.8,11.6,3.4,7.4,4.35,8.65,4.6,12.1,3.8,11.5,8.5,7.75,2.75,11.9,12.65,3.4,10.1,6.3,7.95,11.95,11.15,10.6,10.04,10.5,15,8
Total,,,,,,59.3,71.05,55.85,66.2,53.25,72.8,68.4,60.25,73.05,66.45,59.4,76.45,74.1,97.1,66.9,72.75,68.9,69.2,48.7,79.5,65.6,61.3,55.9,93.95,63.2,59.55,48.95,71.35,78.6,69.15,68.85,70.7,68.05,91.4,72.1,74,66.15,49.95,59.9,83.55,51.15,61.05,68.04,62.75,67.6,72.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
site now underwater at Glen Finglas Resr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
