"ACHNAHARD",,,,,,,,,,,,
Grid ref,NC015131,Long,-5.366482,Lat,58.062402,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.91,1.90,2.52,,,,,,
February,,,,6.65,1.54,3.38,,,,,,
March,,,,4.04,0.78,1.74,,,,,,
April,,,,2.99,1.94,2.09,,,,,,
May,,,,1.13,0.71,0.34,,,,,,
June,,,,2.23,0.74,0.70,,,,,,
July,,,,2.59,0.99,0.87,,,,,,
August,,,,1.49,2.81,3.57,,,,,,
September,,,,1.24,1.49,5.06,,,,,,
October,,,,2.00,2.24,4.67,,,,,,
November,,,,1.42,3.18,4.46,,,,,,
December,,,,1.81,2.21,,,,,,,
Total,,,,30.50,20.53,,,,,,,
Calc annual,0.00,0.00,0.00,30.50,20.53,29.40,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
