BRISTOL-CANONS-MARSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST581723,Long,-2.6043263,Lat,51.448127,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.93,6.3,4.53,3.12,5.42,2.53,,,,,,,,,,,,,,,1.36,,,,,,,,
February,,1.64,4.05,1.6,2.28,2.41,4.89,,,,,,,,,,,,,,,0.38,,,,,,,,
March,,1.58,2.31,3.71,1.79,1.32,3.86,,,,,,,,,,,,,,,1.28,,,,,,,,
April,,3.48,2.73,0.73,2.08,1.89,2.62,,,,,,,,,,,,,,,1.09,,,,,,,,
May,,1.14,2.57,2.59,0.62,2.14,0.17,,,,,,,,,,,,,,,2.41,,,,,,,,
June,0.54,1.56,3.17,1.32,1.05,2.9,0.62,,,,,,,,,,,,,,,2.21,,,,,,,,
July,1.53,4.56,3.63,4.35,1.37,5.63,1.22,,,,,,,,,,,,,,,2.46,,,,,,,,
August,1.61,1.23,2.4,3.44,3.54,1.17,4.5,,,,,,,,,,,,,,,6.32,,,,,,,,
September,1.72,6.03,2.14,2.7,7.16,3.91,5.84,,,,,,,,,,,,,,,1.33,,,,,,,,
October,5.3,1.9,4.09,3.56,3.58,7.09,3.22,,,,,,,,,,,,,,,8.09,,,,,,,,
November,2.58,0.63,4.45,2.7,2.38,6.04,4.51,,,,,,,,,,,,,,,2.27,,,,,,,,
December,1.8,2.19,4.51,0.64,3.56,1.18,6.87,,,,,,,,,,,,,,,3.22,,,,,,,,
Total,,27.87,42.35,31.87,32.53,41.1,40.85,,,,,,,,,,,,,,,32.42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that this is a roof gauge at 10ft 6ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
