CHOBHAM-MIX (Malt House Farm/West End),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU950611,Long,-0.6361,Lat,51.3418,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.2,3.68,2.73,0.63,4.24,0.96,1.27,3.42,4.16,2.41,2.49,3.35,1.5,2.46,2.03,3.57,1.82,3.59,1.42,3.41,1.62,2.25,1.81,1.66,0.82,4.78,4.76,2.68,5.24,3.02,2.14,3.54,5.4,1.73,1.85,1.8,2.08,4.21,1.33,0.78,4.15,2.1,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.3,1.9,1.01,3.38,4.12,3.99,0.96,1.17,2.49,0.32,0.29,2.83,3.86,0.44,3.8,2.12,3.83,1.85,0.55,0.75,1.55,0.26,3.41,0.2,3.11,2.11,4.28,0.54,1.19,2.42,1.88,1.01,1.48,0.94,1.75,2.54,2.15,1.75,1.13,3.83,7.22,0.93,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.52,3.13,2.79,4.46,1.08,5.01,1.87,0.96,4.29,1.87,1.33,1.68,2.71,1.36,0.79,0.45,3.75,1.99,0.04,1.48,0.33,1.41,2.87,2.43,0.3,1.64,3.46,0.24,1.07,3.2,3.55,1.72,0.49,0.22,0.54,0.97,5.72,0.64,1.33,0.97,4.05,3.81,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.76,0.11,2.52,1.12,1.2,1.08,1.95,3.4,2.25,3.38,0.89,3.27,2.42,3.26,2.13,3.01,1.86,1.76,0.83,2.17,3.76,2.65,1.02,1.95,3.25,1.91,2.37,0.1,2.48,1.85,1.22,1.26,0.92,1.17,1.26,1.65,1.56,1.62,1.91,2.73,3.15,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.39,1.24,1.56,1.26,3.53,1.81,1.49,2.21,0.41,0.91,1.25,0.68,2.73,4.09,2.16,1.85,1.24,1.76,1.97,2.51,3.1,3.83,3.05,0.56,1.67,0.75,2.26,1.51,1.32,1.27,2.3,2.81,2.45,0.71,1.63,3.28,1.3,2.79,1.8,1.51,2.51,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.99,3.29,0.71,0.98,1.38,1.84,2.56,1.25,1.05,1.59,0.26,1.02,0.43,2.79,0,2.8,3.16,2.23,1.37,1.59,1.89,1.18,1.58,1.05,3.45,3.3,2.1,0.58,1.36,0.9,1.86,0.32,1.53,2.42,2.59,2.98,2.48,2.33,0.35,1,1.17,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.8,1.4,1.33,2.2,4.42,0.98,5.77,5,3.22,5.15,0.23,3.74,1.53,4.65,3.34,2.43,1.83,2.03,1.46,2.21,3.48,3.86,1.79,3,0.74,3.72,0.67,1.04,2.81,2.65,4.05,1.49,1.53,1.98,2.74,2.73,2.39,0.94,0.51,4.36,1.49,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,0.55,4.36,1.55,1.77,2.51,3.75,5.97,1.14,2.51,1.65,1.1,2.67,1.92,3.43,3.62,1.62,3.7,1.74,1.9,3.11,5.39,1.02,0.74,2.11,3.28,0.85,1.42,2.56,2.1,0.16,5,2.42,1.66,2.36,1.42,4.56,0.46,3.13,1.1,4.4,4.08,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.19,2.15,2.15,0.75,2.32,2.3,1.78,5.42,1.72,2.17,1.62,1.72,1.72,3.84,3.23,1.02,4.78,1.23,0.16,3.99,1.93,2.33,2.35,1.4,3.43,2.45,2.13,1.53,0.99,1.29,0.22,0.99,1.69,2.38,2.14,3.59,1.39,1.43,0.99,3.12,2.6,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.65,3.46,3.59,1.84,2.27,3.76,3.63,1.47,0.77,1.74,0.93,1.35,5.89,3.58,3.2,2.79,1.27,4.67,3.11,1.41,0.6,4.6,2.12,1.73,3.14,2.07,3.12,2.62,5.31,2.95,1.32,3.4,3.02,3.55,3.3,0.96,0.32,2.42,6.61,0.56,0.71,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
