BLANDFORD-LETTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST900079,Long,-2.14255,Lat,50.87066,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1620/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.92,2.83,2.81,0.89,5.24,7.18,3.61,7.06,2.99,4.01,4.85,7.61,2.39,2.01,3.42,3.73,6.52,1.87,0.84,3.48,2.35,0.82,,,,,,,
February,,0.04,4.41,0.08,3.94,3.14,6.18,0.91,2.08,4.01,4.34,0.26,1.45,0.28,2.4,2.31,1.63,0.96,1.84,5.94,6.08,0.46,1.55,,,,,,,
March,,1.77,4.15,3.19,0.77,4.24,4.13,0.17,1.43,2.76,3.48,2.73,0.81,0.35,1.03,1.09,8.03,1.22,1.43,1.74,3.9,3.69,0.7,,,,,,,
April,,2.93,1.37,2.41,4.25,1.78,2.1,0,2.13,1.36,2.13,2.22,0.77,1.79,0.69,2.99,2.86,2.99,1.78,2.82,2.81,1.67,2.14,,,,,,,
May,,4.09,1.5,1.08,0.96,0.44,3.02,1.84,0.8,1.13,2.07,4.23,3.23,0.58,2.49,3.82,2.45,4.13,1.96,1.22,2.95,2.85,2.4,,,,,,,
June,,2.86,1.75,1.13,4.01,2.52,0.97,0.81,2.21,0.07,2.05,0.3,2.1,1.96,3.18,3.48,1.57,2.72,0.65,1.1,0.5,0.88,2.62,,,,,,,
July,,2.91,1.79,1.36,0.65,4.21,1.86,3.1,5.61,3.57,1.91,1.11,2.55,3.21,1.16,1.11,1.14,1.25,0.7,5.18,1.57,0.78,3.39,,,,,,,
August,,0.77,0.97,3.22,2.68,0.21,1.25,3.22,5.27,0.06,3.91,3.92,2.18,2.71,2.31,4.64,0.58,4.04,1.8,3.97,4.52,3.4,1.8,,,,,,,
September,,3.83,2.26,2.65,3.57,3.84,3.28,2.29,1.52,2.09,1.21,3.03,2.13,2.11,3.65,5.6,1.52,2.85,3.54,4.15,4.41,4.49,3.99,,,,,,,
October,,6.04,2.28,1.86,5.42,1.44,5.91,3.41,6.29,5.2,0.86,4.13,4.96,5.19,4.14,1.42,0.94,2.79,8.28,1.32,1.21,5.09,3.61,,,,,,,
November,,2.47,0.74,1.98,7.89,3.57,1.44,5.98,6.98,8.49,2.47,1.81,2.22,7.75,1.17,7.59,1.63,2.06,4.92,6.85,10.52,3.39,2.57,,,,,,,
December,,1.74,1,9.75,5.77,4.76,4.29,3.94,2.06,3.62,2.48,5.79,3.68,2.92,4.79,4.79,3.31,6.56,1.97,2.07,2.33,2.83,0.86,,,,,,,
Total,,32.37,25.05,31.52,40.8,35.39,41.61,29.28,43.44,35.35,30.92,34.38,33.69,31.24,29.02,42.26,29.39,38.09,30.74,37.2,44.28,31.88,26.45,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Station terminated Observer left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
