"FAVERSHAM WATERWORKS",,,,,,,,,,,,
Grid ref,TR013595,Long,0.886158,Lat,51.299025,,,,,,,
Station no,311/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.59,0.79,1.51,0.63,,
February,,,,,,,1.82,1.59,1.16,0.91,,
March,,,,,,,1.19,0.42,2.10,3.17,,
April,,,,,,,0.60,2.76,2.22,1.54,,
May,,,,,,,2.12,1.58,1.28,0.88,,
June,,,,,,,2.52,1.63,0.63,3.59,,
July,,,,,,,0.82,1.20,2.47,2.49,,
August,,,,,,,0.26,1.57,2.56,2.23,,
September,,,,,,,1.78,1.33,2.38,3.32,,
October,,,,,,,2.20,3.58,1.58,5.83,,
November,,,,,,,6.24,2.05,0.93,2.04,,
December,,,,,,,1.50,2.59,2.12,3.16,,
Total,,,,,,,23.64,21.09,20.94,29.79,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.64,21.09,20.94,29.79,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
