"OBAN THE CORRAN",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.83,,,,,,,,,,,
February,2.84,,,,,,,,,,,
March,0.48,,,,,,,,,,,
April,4.51,,,,,,,,,,,
May,3.74,,,,,,,,,,,
June,1.66,,,,,,,,,,,
July,3.75,,,,,,,,,,,
August,4.04,,,,,,,,,,,
September,5.27,,,,,,,,,,,
October,7.93,,,,,,,,,,,
November,5.81,,,,,,,,,,,
December,11.83,,,,,,,,,,,
Total,60.69,,,,,,,,,,,
Calc annual,60.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
