OBAN THE CORRAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 857 306,Long,-5.47652,Lat,56.4189,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,7.15,4.58,5.54,9.12,4.57,6.53,3.3,,1.81,4.47,1.15,7.04,8.09,8.83,,,,,,,,,
February,,,,,,,,5.89,1.86,4.08,0.71,2.87,1.94,6.29,,0.74,4.24,4.07,,3.82,2.84,,,,,,,,,
March,,,,,,,,3.06,3.26,3.97,6.61,3.33,1.04,2.56,,3.9,8.45,7.88,,4.79,0.48,,,,,,,,,
April,,,,,,,,3,2.51,2.16,2.33,1.56,1.92,2.24,,3.51,3.02,3.14,,5.1,4.51,,,,,,,,,
May,,,,,,,,1.01,4.91,2.68,2.08,1.61,5.33,3.62,,0.68,0.85,3.64,,3,3.74,,,,,,,,,
June,,,,,,,,1.92,3.78,1.4,6.24,2,4.1,0.7,4.33,1.36,4.24,4.99,2.58,2.23,1.66,,,,,,,,,
July,,,,,,,,4.97,5.12,1.25,5.71,2.98,4.29,4.49,4.44,4.52,4.53,5.11,2.07,4.05,3.75,,,,,,,,,
August,,,,,,,,2.77,5.78,5.76,5.21,6.4,4.17,6.29,5.51,7.78,4.94,5.3,5.48,2.85,4.04,,,,,,,,,
September,,,,,,,,4.2,2.51,2.03,6.87,7.88,10.44,5.77,0.02,3.73,6.71,5.17,7,6,5.27,,,,,,,,,
October,,,,,,,,3.59,4.98,5.57,7.68,8.36,3.25,7.94,2.43,4.85,3.13,3.11,4.34,5.49,7.93,,,,,,,,,
November,,,,,,,,3.79,7.15,3.09,9.97,5.42,7.23,4.82,8.86,6.3,4.07,4.55,6.17,6.81,5.81,,,,,,,,,
December,,,,,,,,5.31,6.04,8.72,1.12,10.04,3.96,5.77,5.46,6.11,7.7,6.9,13.22,5.93,11.83,,,,,,,,,
Total,,,,,,,,46.66,52.48,46.25,63.65,57.02,54.2,53.79,,45.29,56.35,55.01,,58.16,60.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
