CRAIGVARREN OBAN,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 860 301,Long,-5.470011,Lat,56.414755,Elevation,143,ft,,,,,,,,,,,,
Station no,5413,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,5.34,6.37,7.56,4.65,4.89,6.96,5.78,5.87,8.86,4.83,6.33,3.49,,,,,,
February,,,4.01,7.03,4.27,7.27,2.67,6.15,2.08,4.03,0.9,3.8,1.75,6.08,,,,,,
March,,,6.06,1.19,4.36,3.64,3.05,2.13,3.52,3.97,7.38,3.46,0.66,2.49,,,,,,
April,,,2.49,3.22,1.54,2.87,3.01,2.72,2.62,2.54,2.09,1.33,1.83,,,,,,,
May,,,3.56,3.46,3.73,2.39,2.97,0.93,5.34,2.81,2.77,1.72,5.05,,,,,,,
June,,,4.22,2.51,1.81,2.98,1.52,1.91,3.85,1.37,5.82,1.98,3.99,,,,,,,
July,,,4.95,2.63,6.57,2.88,4.6,4.85,6.21,1.27,6.07,2.7,4.99,,,,,,,
August,,,3.11,5.99,4.2,2.1,3.58,2.59,6.28,6.16,4.9,6.29,4.42,,,,,,,
September,,,5.12,2.43,5.61,10.19,6.87,3.91,2.77,2.37,6.8,7.5,11.6,,,,,,,
October,,,5.22,5.65,7.03,4.06,4.19,3.76,4.8,5.24,8.76,7.85,3.51,,,,,,,
November,,8.93,9.58,9.02,7.57,4.44,5.57,4.81,7.37,3.26,10.49,5.05,7.35,,,,,,,
December,,6.36,5.65,7.52,6.59,6.75,5.36,6.07,5.99,8.38,1.37,9.45,3.46,,,,,,,
Total,,,59.31,57.02,60.84,54.22,48.28,46.79,56.61,47.27,66.21,55.96,54.94,,,,,,,
