OBAN (Pulpit Hill),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM852294,Long,-5.483156,Lat,56.407839,Elevation,229,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,8.47,3.26,3.06,8.65,10.92,2.95,1.08,0.25,5.51,5.78,6.33,5.51,6.49,4.47,8.07,9.32,6.29,6.61,5.41,5.61,7.5,3.7,4.54,8,6.99,1.92,4.26
February,,,5.53,1.4,5.49,2.65,4.47,4.98,8.92,2.68,3.63,2.58,6.01,2.26,9.02,4.23,0.01,6.62,7.61,7.39,4.43,2.89,4.58,5.19,3.27,2.44,4.77,2.73,2.83,4.91
March,,,3.09,2.67,3.09,2.16,0.39,9.63,3.64,4.08,2.37,2.8,3.35,1.31,4.79,2.94,2.15,5.59,3.34,3.57,3.42,4.74,2.56,4.16,1.23,2.62,7.31,1.37,3.89,2.21
April,,,3.84,2.66,2.59,1.56,1.72,1.02,2.57,2.2,2.5,2.49,5.01,3.5,2.12,2.99,7.45,5.18,9.54,4.17,4.59,3.72,3.32,2.13,4.9,2.95,3.44,2.93,4.6,4.93
May,,,2.45,3.62,0.46,2.93,2.36,3.54,1.45,2.24,1.43,2.8,3.62,5.06,4.31,1.68,3.1,1.77,3.41,1.98,0.85,1.65,4.38,3.08,3.03,5.08,2.63,4.86,1.91,3.27
June,,,3.6,2.65,3.32,2.51,4.12,6.76,2.66,1.25,1.54,3.54,5.24,4.62,4.92,3.17,4.42,4.33,1.67,5.18,2.76,4.36,0.96,4.63,4.32,3.37,2,2.1,3.89,3.62
July,,,5.98,3.49,2.94,4.82,7.15,5.8,8.12,4.97,4.07,4.59,3.33,2.18,3.68,4.67,6.71,4.36,3,5.26,5.01,3.88,6.87,3.84,1.15,6.2,5.36,3.81,7.44,3.92
August,,,5.23,5.16,4.02,3.5,3.69,4.7,3.54,4.08,5.74,6.58,6.19,5.17,2.67,6.4,0.11,5.98,7.24,6.34,3.93,6.11,6.5,5.2,1.89,5.47,4.64,5.37,2.91,4.39
September,,,1.07,6.9,9.96,3.38,6.25,5.7,3.49,4.53,3.12,7.88,4.41,4.7,7.78,5.91,8.11,9.59,3.17,9.86,4.69,4.38,8.53,8.13,8.83,5.58,4,3.96,2.38,3.6
October,,,3.48,9.4,10.11,7.16,3.79,10.75,1.62,8.01,4.68,7.14,10.63,6.14,5.26,0.4,4.24,10.17,6.43,8.09,4.12,6.36,6.92,11.17,6.63,4.2,10.33,8.41,6.13,2.16
November,,,2.51,1.98,3,4.52,1.97,13.74,11.75,7.98,5.06,2.39,4.54,6.74,0.35,4.42,9.66,6.01,7.45,5.6,6.52,2.6,11.41,9.26,2.15,3.8,3.29,2.31,8.04,7.61
December,,,2.55,6.13,4.94,9.83,2.2,6.88,3.7,7.25,3.56,9.49,4.5,5.85,4.22,6.49,3.3,8.51,11.92,2.84,11.3,7.67,6.79,9.85,8.54,8.5,7.68,5.51,9.45,9.54
Total,,,45.9,54.53,53.18,48.08,46.76,84.42,54.41,50.35,37.95,57.79,62.61,53.86,54.63,49.79,53.73,76.18,74.1,66.57,58.23,53.77,68.43,74.14,49.64,54.75,63.45,50.35,55.39,54.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
